,Year,Type,Area,Gender,Species
1812,2002,Unprovoked,Florida,Male,6' shark
1813,2002,Unprovoked,Florida,Male,3' to 4' shark
1814,2002,Unprovoked,Society Islands,Male,Unidentified Species
1815,2002,Unprovoked,Hawaii,Female,A �small� shark
1816,2002,Unprovoked,Pernambuco,Male,Possibly a bull shark or tiger shark
1817,2002,Unprovoked,Florida,Male,Unidentified Species
1818,2002,Unprovoked,Florida,Male,Blacktip or spinner shark
1819,2002,Unprovoked,Florida,Male,3.5' to 4.5' shark
1820,2002,Unprovoked,Florida,Male,3.5' to 4' shark
1821,2002,Unprovoked,Florida,Male,4' to 5' shark
1822,2002,Unprovoked,Florida,Male,Unidentified Species
1823,2002,Unprovoked,Hawaii,Male,1.2 m [4'] blacktip shark
1824,2002,Provoked,Florida,Male,1.8 m [6'] blacktip shark
1825,2002,Provoked,Vava'u,Male,"Tiger shark, 1.5 m [5']k"
1826,2002,Unprovoked,Oregon,Male,2.4 m [8'] shark
1827,2002,Unprovoked,California,Male,3 m to 3.7 m [10' to 12'] shark
1828,2002,Unprovoked,Pernambuco,Male,Bull or tiger shark
1829,2002,Unprovoked,Hawaii,Unrecorded Gender,Unidentified Species
1830,2002,Unprovoked,Western Cape Province,Male,White shark
1831,2002,Unprovoked,Florida,Male,4' to 6' shark
1832,2002,Provoked,Florida,Male,1' to 2' hammerhead or bonnethed shark
1833,2002,Unprovoked,Hawaii,Male,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1834,2002,Unprovoked,Alabama,Female,Unidentified Species
1835,2002,Unprovoked,Florida,Male,0.9 m  to 1.2 m [3' to 4'] shark
1836,2002,Unprovoked,Florida,Male,"Nurse shark, 1.5 m [5'] "
1837,2002,Unprovoked,Florida,Male,Unidentified Species
1838,2002,Provoked,Cheshire,Male,"Sandtiger shark, 3 m [10'] "
1839,2002,Unprovoked,North Carolina,Male,1.2 m to 1.5 m [4' to 5'] shark
1840,2002,Unprovoked,South Carolina,Male,1.2 m [4'] blacktip or sandbar shark
1841,2002,Unprovoked,North Carolina,Female,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
1842,2002,Provoked,Florida,Male,Unidentified Species
1843,2002,Provoked,Maryland,Male,"Mako shark, 400-lb "
1844,2002,Unprovoked,Pernambuco,Male,Bull or tiger shark
1845,2002,Unprovoked,North Carolina,Female,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
1846,2002,Unprovoked,Queensland,Male,Unidentified Species
1847,2002,Unprovoked,Florida,Female,Unidentified Species
1848,2002,Arbitrary incident,Non-Registered Area,Unrecorded Gender,Shark involvement prior to death was not confirmed
1849,2002,Unprovoked,Louisiade Archipelago,Unrecorded Gender,Unidentified Species
1850,2002,Unprovoked,Louisiade Archipelago,Unrecorded Gender,Unidentified Species
1851,2002,Unprovoked,Hawaii,Unrecorded Gender,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  "
1852,2002,Unprovoked,Florida,Male,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
1853,2002,Unprovoked,Florida,Male,� 
1854,2002,Unprovoked,Florida,Male,Unidentified Species
1855,2002,Unprovoked,KwaZulu-Natal between Port Edward and Port St Johns,Male,1.5 to 2.5 m [5' to 8.25'] copper shark
1856,2002,Unprovoked,California,Male,3.7 m to 4.3 m [12' to 14'] white shark
1857,2002,Unprovoked,Florida,Male,1 m  shark
1858,2002,Provoked,Florida,Male,3' blacktip shark
1859,2002,Unprovoked,Florida,Male,Unidentified Species
1860,2002,Unprovoked,Guanacaste,Male,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
1861,2002,Unprovoked,Milne Bay Province,Male,Unidentified Species
1862,2002,Unprovoked,Florida,Male,2.1 m to 2.4 m [7' to 8'] shark
1863,2002,Unprovoked,Pernambuco,Male,Unidentified Species
1864,2002,Provoked,Northern Territory,Male,Unidentified Species
1865,2002,Unprovoked,South Australia,Male,"White shark, 6m [20']"
1867,2002,Unprovoked,Florida,Male,1.2 m [4'] shark
1868,2002,Unprovoked,Florida,Male,Unidentified Species
1869,2002,Unprovoked,New South Wales,Male,Unidentified Species
1870,2002,Unprovoked,Abaco Islands,Male,"Bull shark, 400-lb "
1871,2002,Unprovoked,Florida,Male,3'  shark
1872,2002,Unprovoked,Florida,Male,0.9 m [3'] shark
1873,2002,Unprovoked,Hawaii,Male,Tiger shark
1874,2002,Unprovoked,Florida,Female,� 
1875,2002,Unprovoked,Pernambuco,Male,Unidentified Species
1876,2002,Unprovoked,Florida,Male,4' shark
1877,2002,Unprovoked,Florida,Male,"Nurse shark, 1m "
1878,2002,Unprovoked,Florida,Male,"Spinner shark, 3' to 4' "
1879,2002,Arbitrary incident,Loyalty Islands,Male,Shark involvement prior to death unconfired
1880,2002,Unprovoked,Non-Registered Area,Male,Unidentified Species
1881,2002,Unprovoked,Queensland,Male,"1.5 m [5'] ""whaler shark"""
1882,2002,Unprovoked,Cikobia Island (north of Vanua Levu),Male,Unidentified Species
1883,2002,Boating,New South Wales,Male,C. leucas tooth fragment recovered from kayak
1884,2002,Unprovoked,New South Wales,Male,"Tiger shark, 3 m [10']"
1885,2002,Unprovoked,Western Australia,Male,Unidentified Species
1886,2002,Unprovoked,KwaZulu-Natal,Male,Zambesi shark?
1887,2002,Unprovoked,Pernambuco,Unrecorded Gender,Unidentified Species
1888,2002,Unprovoked,KwaZulu-Natal,Male,Unidentified
1889,2002,Unprovoked,Hawaii,Male,"Tiger shark, 1.8 m [6'] "
1890,2001,Arbitrary incident,Western Australia,Male,Unidentified Species
1891,2001,Unprovoked,New South Wales,Male,Bronze whaler shark
1892,2001,Unprovoked,Hawaii,Unrecorded Gender,Unidentified Species
1893,2001,Arbitrary incident,Western Australia,Male,Unidentified Species
1894,2001,Unprovoked,KwaZulu-Natal,Male,"Mako shark, 2 m [6.75'] "
1895,2001,Unprovoked,Queensland,Female,Bronze whaler shark?
1896,2001,Unprovoked,Guerrero,Male,"Tiger shark, 1.8 m [6']"
1897,2001,Boat,Queensland,Male,4 m [13'] white shark
1898,2001,Provoked,Florida,Male,4' shark
1899,2001,Unprovoked,Florida,Male,Unidentified Species
1900,2001,Arbitrary incident,Florida,Male,Questionable incident - shark bite may have precipitated drowning
1901,2001,Unprovoked,Florida,Male,2' to 3.5' shark
1902,2001,Unprovoked,North Carolina,Male,Unidentified Species
1903,2001,Provoked,Cheshire,Male,12' sandtiger shark
1904,2001,Provoked,Florida,Male,Unidentified Species
1905,2001,Unprovoked,Florida,Male,Unidentified Species
1906,2001,Arbitrary incident,South Carolina,Female,Shark involvement not confirmed
1907,2001,Unprovoked,North Carolina,Male,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
1908,2001,Unprovoked,North Carolina,Female,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
1909,2001,Unprovoked,Florida,Male,1.5 m [5'] shark
1910,2001,Unprovoked,Virginia,Male,bull shark
1911,2001,Unprovoked,Abaco Islands,Male,3 m [10'] bull shark
1912,2001,Unprovoked,Florida,Female,Unidentified Species
1913,2001,Unprovoked,Florida,Male,Unidentified Species
1914,2001,Unprovoked,Florida,Male,Unidentified Species
1915,2001,Unprovoked,Florida,Male,Unidentified Species
1916,2001,Unprovoked,Florida,Male,a small shark
1917,2001,Unprovoked,Florida,Male,Unidentified Species
1918,2001,Unprovoked,Florida,Male,Unidentified Species
1919,2001,Unprovoked,Florida,Female,Unidentified Species
1920,2001,Unprovoked,Florida,Female,Unidentified Species
1921,2001,Unprovoked,Florida,Male,Possibly  a blacktip or spinner shark
1922,2001,Unprovoked,Florida,Male,"3' shark, possibly  a blacktip or spinner shark"
1923,2001,Unprovoked,Florida,Male,"Blacktip shark, 5' to 6' "
1924,2001,Unprovoked,Grand Bahama Island,Male,1.9 m [6.5'] bull shark
1925,2001,Unprovoked,Rayong Province,Male,3 m [10'] shark
1926,2001,Unprovoked,South Carolina,Female,Unidentified Species
1927,2001,Unprovoked,Grand Bahama Island,Male,Unidentified Species
1928,2001,Boating,Non-Registered Area,Unrecorded Gender,Unidentified Species
1929,2001,Unprovoked,South Carolina,Female,Unidentified Species
1930,2001,Unprovoked,Florida,Male,Unidentified Species
1931,2001,Unprovoked,Florida,Female,Nurse shark
1932,2001,Boating,Massachusetts,Unrecorded Gender,"Mako shark, 14' "
1933,2001,Unprovoked,Florida,Male,Unidentified Species
1934,2001,Unprovoked,Florida,Male,0.9 m  [3'] shark
1935,2001,Unprovoked,Baja California,Male,Unidentified Species
1936,2001,Unprovoked,Florida,Male,"Bull shark, 2.3 m [7.5'] "
1937,2001,Unprovoked,South Carolina,Unrecorded Gender,Unidentified Species
1938,2001,Unprovoked,Georgia,Male,Unidentified Species
1939,2001,Unprovoked,Texas,Male,1.5 m [5'] shark
1940,2001,Provoked,California,Male,"White shark, 2.4 m to 3 m [8' to 10'] "
1941,2001,Arbitrary incident,New South Wales,Male,Shark involvement prior to death was not confirmed
1942,2001,Unprovoked,South Carolina,Female,2' shark
1943,2001,Unprovoked,Texas,Male,Unidentified Species
1944,2001,Unprovoked,South Carolina,Male,1.2 m to 1.5 m [4.5' to 5'] shark
1945,2001,Unprovoked,South Carolina,Male,Unidentified Species
1946,2001,Provoked,Zamboanga del Sur Province,Male,Unidentified Species
1947,2001,Arbitrary incident,Non-Registered Area,Male,Shark involvement prior to death was not confirmed
1948,2001,Unprovoked,Eastern Cape Province,Male,"White shark, 2.7 m to 3 m [9' to 10'] "
1949,2001,Unprovoked,New South Wales,Male,Unidentified Species
1950,2001,Unprovoked,Florida,Male,1.2 m to 1.5 m [4' to 5'] shark
1951,2001,Unprovoked,Taveuni,Male,Unidentified Species
1952,2001,Unprovoked,Florida,Male,Unidentified Species
1953,2001,Unprovoked,Florida,Male,Unidentified Species
1954,2001,Unprovoked,Florida,Male,Possibly a juvenile blacktip or spinner shark
1955,2001,Unprovoked,Florida,Male,Unidentified Species
1956,2001,Unprovoked,Florida,Male,Unidentified Species
1957,2001,Unprovoked,Florida,Male,Possibly a juvenile blacktip or spinner shark
1958,2001,Unprovoked,Florida,Male,Possibly a juvenile blacktip or spinner shark
1959,2001,Unprovoked,Florida,Male,Possibly a 1.5 m [5'] blacktip or spinner shark
1960,2001,Unprovoked,Florida,Male,Possibly a juvenile blacktip or spinner shark
1961,2001,Unprovoked,Florida,Male,Unidentified Species
1962,2001,Unprovoked,Hawaii,Male,"1 m shark, possibly whitetip reef shark"
1963,2001,Unprovoked,Florida,Unrecorded Gender,Possibly a juvenile blacktip or spinner shark
1964,2001,Unprovoked,Eastern Cape Province,Male,"White shark, 2.7 m [9'] "
1965,2001,Provoked,New South Wales,Male,Wobbegong shark
1966,2001,Unprovoked,Florida,Male,"""small shark"""
1967,2001,Unprovoked,Rio Grande de Norte,Female,Unidentified Species
1968,2001,Unprovoked,New South Wales,Male,Bronze whaler shark
1969,2001,Unprovoked,Hawaii,Male,Unidentified Species
1970,2001,Unprovoked,Florida,Male,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] "
1971,2001,Arbitrary incident,Bahia,Male,Shark involvement not confirmed
1972,2001,Unprovoked,Pernambuco,Male,Unidentified Species
1973,2001,Sea Disaster,Non-Registered Area,Unrecorded Gender,"Tiger shark, 8' "
1974,2001,Boating,Western Australia,Unrecorded Gender,"White shark, 5 m [16.5'] "
1975,2001,Arbitrary incident,Off the western coast of peninsular Malaysia,Female,Shark involvement prior to death was not confirmed
1976,2001,Unprovoked,New South Wales,Male,"Bronze whaler shark, 2.5 m [8.25']  k"
1977,2001,Boating,New South Wales,Male,5 m shark
1978,2001,Unprovoked,Holquin Province,Female,2 m [6.75'] shark
1979,2001,Boating,South Australia,Unrecorded Gender,"White shark, 4.3 m [14'] "
1980,2001,Unprovoked,California,Male,"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""
1981,2001,Boating,North Island,Male,White shark
1982,2000,Unprovoked,Queensland,Male,Unidentified Species
1983,2000,Unprovoked,Taveuni,Male,6 m [20'] shark
1984,2000,Boating,South Australia,Unrecorded Gender,"White shark, 4.5 m [14'9""] "
1985,2000,Unprovoked,New Brunswick,Male,"Porbeagle shark, 3 m [10']rk"
1986,2000,Unprovoked,Queensland,Male,"Bronze whaler shark, 2.5 m [8.25'] "
1987,2000,Unprovoked,Cook Islands,Female,Unidentified Species
1988,2000,Unprovoked,Queensland,Male,"Tiger shark, 4 m "
1989,2000,Arbitrary incident,South Australia,Male,Shark involvement not confirmed
1990,2000,Unprovoked,Florida,Male,1.2 m to 1.8 m [4' to 6'] shark
1992,2000,Unprovoked,Western Australia,Male,"White shark, 4.9 m [16'] "
1993,2000,Unprovoked,Western Australia,Male,"White shark, 5 m [16.5'] "
1994,2000,Unprovoked,California,Male,"White shark, 2.4 m to 3 m [8' to 10'] "
1995,2000,Boat,Queensland,Unrecorded Gender,White shark
1996,2000,Unprovoked,Florida,Male,Unidentified Species
1997,2000,Unprovoked,Hawaii,Female,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1998,2000,Unprovoked,Florida,Male,Unidentified Species
1999,2000,Unprovoked,Florida,Male,2.1 to 2.4 m [7' to 8'] shark
2000,2000,Unprovoked,Florida,Male,"Blacktip shark, 2' "
2001,2000,Unprovoked,Florida,Male,Unidentified Species
2002,2000,Unprovoked,North Carolina,Male,Unidentified Species
2003,2000,Unprovoked,California,Male,"White shark, 4.3 m [14']"
2004,2000,Unprovoked,South Australia,Male,White shark
2005,2000,Unprovoked,South Australia,Male,"White shark, 4 m to 5 m [13' to 16.5'] "
2006,2000,Provoked,New South Wales,Male,100-kg [221-lb] dead blue shark
2007,2000,Unprovoked,Miyako Island,Male,"White shark, 2.5 m "
2008,2000,Unprovoked,South Carolina,Unrecorded Gender,Unidentified Species
2009,2000,Unprovoked,Florida,Male,Unidentified Species
2010,2000,Unprovoked,Florida,Female,Unidentified Species
2011,2000,Unprovoked,Florida,Male,60 cm to 90 cm [2' to 3'] shark
2012,2000,Unprovoked,Florida,Male,Unidentified Species
2013,2000,Unprovoked,Western Cape Province,Male,"White shark, 3.5 m [11.5']  male "
2014,2000,Unprovoked,Non-Registered Area,Male,Thought to involve a Zambesi shark
2015,2000,Unprovoked,Florida,Male,1.5 m [5'] shark
2016,2000,Unprovoked,Saint-Pierre,Male,"Tiger shark, 3 m [10'] "
2017,2000,Unprovoked,Non-Registered Area,Unrecorded Gender,Thought to involve a Zambesi shark
2018,2000,Unprovoked,Florida,Male,A 2' shark was seen in the area by witnesses
2019,2000,Unprovoked,Florida,Male,"Thought to involve a 2.7 m [9'], 400-lb bull shark"
2020,2000,Provoked,Alaska,Male,Salmon shark
2021,2000,Unprovoked,North Carolina,Male,Unidentified Species
2022,2000,Unprovoked,Hawaii,Male,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  "
2023,2000,Unprovoked,Florida,Male,juvenile shark
2024,2000,Unprovoked,Florida,Female,"Blacktip shark, 2.4 m to 3 m [8' to 10'] "
2025,2000,Arbitrary incident,North Carolina,Male,Shark involvement  not confirmed
2026,2000,Arbitrary incident,Florida,Male,Shark involvement prior to death was not confirmed
2027,2000,Unprovoked,Non-Registered Area,Unrecorded Gender,Thought to involve a Zambesi shark
2028,2000,Unprovoked,Florida,Male,Unidentified Species
2029,2000,Unprovoked,Florida,Female,"Nurse shark, 1.5 m [5']"
2030,2000,Unprovoked,North Carolina,Male,Unidentified Species
2031,2000,Unprovoked,North Carolina,Male,1.8 m [6'] grey-colored shark
2032,2000,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2033,2000,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2034,2000,Unprovoked,KwaZulu-Natal,Male,Unidentified Species
2035,2000,Unprovoked,Minerva Reef,Male,"Grey reef shark, 2 m [6.75'] "
2036,2000,Unprovoked,Florida,Male,Unidentified Species
2037,2000,Unprovoked,Florida,Male,Unidentified Species
2038,2000,Unprovoked,Texas,Male,"Lemon shark, 2.1  m to 2.4 m [7' to 8'] "
2039,2000,Unprovoked,North Carolina,Female,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?"
2040,2000,Unprovoked,Florida,Female,Unidentified Species
2041,2000,Unprovoked,Florida,Female,"Nurse shark, 1.2 m [4'] "
2042,2000,Unprovoked,Florida,Female,0.9 m [3'] shark
2043,2000,Unprovoked,Florida,Female,"0.9 m [3'] shark,  probably a blacktip or spinner shark"
2044,2000,Unprovoked,Non-Registered Area,Unrecorded Gender,Thought to involve a Zambesi shark
2045,2000,Unprovoked,Madang Province,Male,Unidentified Species
2046,2000,Boat,North Island,Male,"Mako shark, 2 m [6.75'] "
2047,2000,Unprovoked,Florida,Male,Unidentified Species
2048,2000,Boat,Florida,Unrecorded Gender,"Bull shark, 2.4 m [8']"
2049,2000,Unprovoked,Texas,Male,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] "
2050,2000,Unprovoked,Alabama,Male,Bull shark?
2051,2000,Unprovoked,Alabama,Male,Bull shark
2052,2000,Unprovoked,Florida,Male,Unidentified Species
2053,2000,Unprovoked,Non-Registered Area,Male,Thought to involve a Zambesi shark
2054,2000,Sea Disaster,South Province,Unrecorded Gender,Tiger sharks & bull sharks (20 sharks in all)
2055,2000,Arbitrary incident,Victoria,Unrecorded Gender,Shark involvement prior to death was not confirmed
2056,2000,Unprovoked,Madang Province,Male,Unidentified Species
2057,2000,Unprovoked,Madang Province,Male,Unidentified Species
2058,2000,Unprovoked,Florida,Male,Unidentified Species
2059,2000,Unprovoked,Florida,Male,Unidentified Species
2060,2000,Unprovoked,Florida,Male,Unidentified Species
2061,2000,Unprovoked,Queensland,Male,2.5 m shark
2062,2000,Unprovoked,Florida,Female,1.8 m [6'] shark
2063,2000,Unprovoked,Florida,Male,1.2 m [4'] shark
2064,2000,Unprovoked,North Province,Male,Tiger shark?
2065,2000,Unprovoked,New South Wales,Male,"Tiger shark, 4 m [13'] ?"
2066,2000,Boating,New South Wales,Unrecorded Gender,2 m to 2.5 m [6.75'  to 8.25'] shark
2067,2000,Boating,New South Wales,Unrecorded Gender,Unidentified Species
2068,2000,Arbitrary incident,North Island,Male,Shark involvement  questionable
2069,2000,Unprovoked,New South Wales,Male,Unidentified Species
2070,2000,Unprovoked,Louisiana,Male,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] "
2071,2000,Unprovoked,Florida,Male,Unidentified Species
2072,2000,Unprovoked,Western Cape Province,Male,"White shark, 2.5 m "
2073,2000,Provoked,Worcestershire,Male,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks"
2074,2000,Unprovoked,South Island,Male,Unidentified Species
2075,2000,Unprovoked,South Australia,Male,3 m [10'] shark
2076,2000,Boat,Non-Registered Area,Male,Unidentified Species
2077,2000,Unprovoked,Phang nga Province,Male,Unidentified Species
2078,2000,Boat,Florida,Male,Hammerhead shark
2079,1999,Unprovoked,South Island,Male,Sevengill shark
2080,1999,Unprovoked,South Island,Female,Sevengill shark
2081,1999,Unprovoked,South Island,Female,Sevengill shark
2082,1999,Unprovoked,Pernambuco,Male,"Thought to involve a white, bull or tiger shark"
2083,1999,Arbitrary incident,California,Male,Shark involvement not confirmed
2084,1999,Arbitrary incident,Rio de Janeiro,Male,Shark involvement not confirmed
2085,1999,Unprovoked,Florida,Male,Unidentified Species
2086,1999,Unprovoked,Florida,Male,Unidentified Species
2087,1999,Unprovoked,Hawaii,Female,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2088,1999,Unprovoked,California,Male,White shark
2089,1999,Unprovoked,KwaZulu-Natal,Male,"White shark, 3 m [10'] "
2090,1999,Unprovoked,Rio de Janeiro,Male,1.3 to 1.6 m shark
2091,1999,Unprovoked,Alinglaplap Atoll,Male,"Grey reef shark, 1.2 m [4'] "
2092,1999,Unprovoked,Alinglaplap Atoll,Male,"Grey reef shark, 1.2 m [4'] "
2093,1999,Unprovoked,Florida,Male,Unidentified Species
2094,1999,Unprovoked,Florida,Male,Unidentified Species
2095,1999,Unprovoked,Florida,Male,"Lemon shark, 2.7 m [9'] "
2096,1999,Unprovoked,Hawaii,Male,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2097,1999,Unprovoked,Florida,Male,Unidentified Species
2098,1999,Boating,Adriatic Sea,Unrecorded Gender,Said to involve a 7 m [23'] white shark
2099,1999,Unprovoked,California,Male,White shark
2100,1999,Unprovoked,Florida,Female,Unidentified
2101,1999,Unprovoked,South Carolina,Female,Unidentified Species
2102,1999,Unprovoked,Florida,Male,1.5 m to 1.8 m [5' to 6'] shark
2103,1999,Provoked,Florida,Male,0.9 m [3'] shark
2104,1999,Unprovoked,Florida,Male,Unidentified Species
2105,1999,Unprovoked,Florida,Male,"""a small shark"""
2106,1999,Unprovoked,North Carolina,Male,Unidentified Species
2107,1999,Unprovoked,Ralik Chain,Male,7' shark
2108,1999,Unprovoked,Florida,Male,Unidentified Species
2109,1999,Unprovoked,South Carolina,Male,1.8 m [6'] shark
2110,1999,Unprovoked,Florida,Male,4' to 5' shark
2111,1999,Unprovoked,Abaco Islands,Male,2.7 m [9']  bull shark or Caribbean reef shark
2112,1999,Unprovoked,Western Cape Province,Male,"White shark, 3 m to 5 m [10' to 16.5'] "
2113,1999,Unprovoked,Florida,Male,"Bull shark, 2.1 m [7']"
2114,1999,Unprovoked,Hawaii,Male,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2115,1999,Unprovoked,Western Cape Province,Male,White shark
2116,1999,Unprovoked,South Carolina,Male,Unidentified Species
2117,1999,Unprovoked,Florida,Female,"Blacktip shark, 1.8 m [6'] "
2118,1999,Unprovoked,Eastern Cape Province,Male,"White shark, 4 m [13'] "
2119,1999,Unprovoked,Florida,Male,1.2 m [4'] shark
2120,1999,Unprovoked,Florida,Male,3' to 4' shark
2121,1999,Unprovoked,Florida,Male,Unidentified Species
2122,1999,Unprovoked,Florida,Male,Blacktip or spinner shark
2123,1999,Unprovoked,South Australia,Male,Thought to involve a white shark
2124,1999,Unprovoked,Pernambuco,Male,"Tiger shark, 2.5 m [8.25']"
2125,1999,Unprovoked,Grand Baie,Female,"Grey reef shark, 1.5 m "
2126,1999,Unprovoked,L' Etang Sal�-les-Bains,Male,3 bull sharks
2127,1999,Unprovoked,Florida,Male,Unidentified Species
2128,1999,Unprovoked,South Island,Male,"Sevengill shark, 2.4 m [8'] "
2129,1999,Provoked,Rio Grande de Norte,Male,Unidentified Species
2130,1999,Unprovoked,Hawaii,Female,Unidentified Species
2131,1999,Unprovoked,Loyalty Islands,Male,200 to 300 kg shark
2132,1999,Provoked,Non-Registered Area,Male,"Mako shark, 1.3 m gaffed "
2133,1999,Unprovoked,Hawaii,Male,Unidentified Species
2134,1999,Unprovoked,Hawaii,Female,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity
2135,1999,Boating,North Carolina,Unrecorded Gender,Basking shark
2136,1999,Unprovoked,New South Wales,Male,Bronze whaler or tiger shark
2137,1999,Unprovoked,Florida,Male,Spinner shark
2138,1999,Unprovoked,Non-Registered Area,Male,Bull shark
2139,1999,Unprovoked,Eastern Cape Province,Male,"White shark, 4 m [13'] "
2140,1999,Boating,North Island,Unrecorded Gender,Unidentified Species
2141,1999,Arbitrary incident,Northern Territory,Female,Shark involvement not confirmed
2142,1999,Unprovoked,Saint-Leu,Unrecorded Gender,Bull shark
2143,1999,Unprovoked,Western Cape Province,Male,"White shark, 4.6 m [15'] "
2144,1999,Arbitrary incident,Virginia,Male,Shark involvement not confirmed
2145,1998,Provoked,Florida,Male,Unidentified Species
2146,1998,Unprovoked,South Australia,Female,Unidentified Species
2147,1998,Unprovoked,Eastern Cape Province,Male,Possibly a white shark
2148,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2149,1998,Unprovoked,South Australia,Female,Unidentified Species
2150,1998,Unprovoked,Florida,Male,Tiger shark
2151,1998,Unprovoked,Florida,Male,1.2 m [4'] shark
2152,1998,Unprovoked,Florida,Male,"A ""small shark"""
2153,1998,Unprovoked,Oregon,Male,"White shark, 5 m  to 6 m [16.5' to 20'] "
2154,1998,Provoked,Southern Japan,Male,6' shark
2155,1998,Unprovoked,Pernambuco,Male,Though to involve a white shark
2156,1998,Unprovoked,Florida,Female,Unidentified Species
2157,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2158,1998,Unprovoked,Florida,Male,Unidentified Species
2159,1998,Unprovoked,Pernambuco,Male,Unidentified Species
2160,1998,Unprovoked,Saint-Beno�t,Unrecorded Gender,Unidentified Species
2161,1998,Unprovoked,Florida,Male,Unidentified Species
2162,1998,Unprovoked,Florida,Male,Unidentified Species
2163,1998,Unprovoked,Florida,Male,Unidentified Species
2164,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2165,1998,Unprovoked,Florida,Male,1.8 m [6'] shark
2166,1998,Provoked,Cap Vert Peninsula,Male,1.5 m shark
2167,1998,Unprovoked,Florida,Male,3' to 4' shark
2169,1998,Unprovoked,California,Male,"White shark, 5 m to 6 m [16.5' to 20'] "
2170,1998,Unprovoked,Virginia,Male,"Dusky shark, 12' "
2171,1998,Unprovoked,Berry Islands,Male,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] "
2172,1998,Unprovoked,Florida,Male,4.5' to 5' shark
2173,1998,Provoked,Transvaal,Male,"Sandtiger shark, 2 m, male "
2174,1998,Unprovoked,Western Cape Province,Male,"White shark, 4 m [13'] "
2175,1998,Unprovoked,Western Cape Province,Male,"White shark, 4.9 m [16']"
2176,1998,Unprovoked,Pernambuco,Male,Unidentified Species
2177,1998,Unprovoked,Florida,Male,Unidentified Species
2178,1998,Unprovoked,Western Cape Province,Male,"Raggedtooth shark, 1.2 m [4'] "
2179,1998,Unprovoked,Eastern Cape Province,Male,5' to 6' shark
2180,1998,Unprovoked,Western Cape Province,Male,"Raggedtooth shark, 1.2 m [4'] "
2181,1998,Unprovoked,South Australia,Male,Thought to involve a 5.5 m white shark named Kong
2182,1998,Unprovoked,Eastern Cape Province,Male,White shark
2183,1998,Unprovoked,Florida,Male,Unidentified Species
2184,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2185,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2186,1998,Unprovoked,Eastern Cape Province,Male,3 m to 4 m [10' to 13'] white shark
2187,1998,Unprovoked,Eastern Cape Province,Male,Unidentified
2188,1998,Unprovoked,Florida,Male,"Lemon shark, 1.5 m [5'], identified  by the surfer"
2189,1998,Unprovoked,Florida,Female,"1.8 m [6'] shark, possibly a blacktip"
2190,1998,Unprovoked,Florida,Male,Unidentified Species
2191,1998,Unprovoked,Western Cape Province,Male,4 m [13'] white shark
2192,1998,Unprovoked,Gaza,Female,3 m [10'] shark
2193,1998,Unprovoked,Oregon,Male,5 m [16.5'] white shark
2194,1998,Provoked,Florida,Male,"Nurse shark, 0.9 m [3'] "
2195,1998,Unprovoked,Pernambuco,Male,Unidentified Species
2196,1998,Unprovoked,Non-Registered Area,Unrecorded Gender,Unidentified Species
2197,1998,Unprovoked,Florida,Male,Unidentified Species
2198,1998,Unprovoked,Western Cape Province,Male,3 m [10'] white shark
2199,1998,Unprovoked,Florida,Male,5' spinner shark
2200,1998,Unprovoked,Florida,Male,Spinner shark
2201,1998,Arbitrary incident,New South Wales,Male,Shark involvement not confirmed
2202,1998,Unprovoked,South Province,Male,1.7 m shark
2203,1998,Unprovoked,Grand'Anse,Male,Unidentified Species
2204,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2205,1998,Unprovoked,South Australia,Male,Unidentified Species
2206,1998,Unprovoked,Maputo Province,Male,Small dusky shark or blackfin shark
2207,1998,Unprovoked,Eastern Cape Province,Male,Unidentified Species
2208,1998,Unprovoked,Beaufonds,Unrecorded Gender,Unidentified Species
