,Year,Type,Area,Gender,Species
103,2017,Unprovoked,Red Sea Protectorate,Female,"Oceanic whitetip shark, 1.8 to 2 m"
104,2017,Provoked,Massachusetts,Male,4' shark
105,2017,Boating,California,Male,"White shark, 10'"
106,2017,Unprovoked,Florida,Male,Unidentified Species
107,2017,Arbitrary incident,South Carolina,Male,A small shark
108,2017,Unprovoked,South Carolina,Female,Unidentified Species
109,2017,Unprovoked,New Providence District,Female,Unidentified Species
110,2017,Unprovoked,40 miles off Grand Bahama Island,Male,Unidentified Species
111,2017,Unprovoked,Ascension Island,Male,Unidentified Species
112,2017,Unprovoked,New Jersey,Female,Sandtiger shark  2'
113,2017,Unprovoked,Majorca,Female,Blue shark 6'
114,2017,Unprovoked,Florida,Female,"""A small shark"""
115,2017,Arbitrary incident,South Carolina,Female,Shark involvement not confirmed
116,2017,Boating,California,Male,"White shark, 11' to 13'"
117,2017,Unprovoked,California,Male,"White shark, 8' to 10'"
118,2017,Unprovoked,Washington,Male,"White shark, 9'"
119,2017,Unprovoked,Western Australia,Male,Unidentified Species
120,2017,Boating,California,Male,White shark
121,2017,Unprovoked,Florida,Male,"Bull shark, 4' to 5'"
122,2017,Provoked,Tabasco,Male,"Tiger shark, 100 kg"
123,2017,Unprovoked,Eastern Cape Province,Female,"White shark, 2.5 m"
124,2017,Arbitrary incident,Anjouan,Unrecorded Gender,Shark involvement prior to death not confirmed
125,2017,Arbitrary incident,South Carolina,Male,No shark invovlement 
126,2017,Unprovoked,South Carolina,Female,Unidentified Species
127,2017,Unprovoked,Florida,Male,Unidentified Species
128,2017,Unprovoked,South Carolina,Female,"Bull shark, 4' to 5'"
129,2017,Unprovoked,Non-Registered Area,Male,"Bull shark, 2m"
130,2017,Unprovoked,Ibiza Island,Male,Unidentified Species
131,2017,Unprovoked,Marquesas,Male,Unidentified Species
132,2017,Unprovoked,Non-Registered Area,Female,Unidentified Species
133,2017,Unprovoked,Western Australia,Male,"White shark, 4 m"
134,2017,Unprovoked,Victoria,Female,Seven-gill shark
135,2017,Unprovoked,Florida,Male,Unidentified Species
136,2017,Unprovoked,South Devon,Male,"3m shark, probably a smooth hound"
137,2017,Unprovoked,Florida,Male,8' shark
138,2017,Unprovoked,New Providence ,Female,Tiger shark
139,2017,Provoked,South Carolina,Female,3' shark
140,2017,Unprovoked,Florida,Male,Tiger shark
141,2017,Arbitrary incident,New South Wales,Male,Unidentified Species
142,2017,Unprovoked,"Sharjah, ",Male,Unidentified Species
143,2017,Provoked,Queensland,Male,9' shark
144,2017,Unprovoked,Baja California Sur,Male,Unidentified Species
145,2017,Arbitrary incident,California,Female,Shark involvement highly doubtful
146,2017,Unprovoked,California,Female,Unidentified Species
147,2017,Unprovoked,Western Cape Province,Male,Unidentified Species
