,Employed foreigners,Employed nationals,Unemployed foreigners,Unemployed nationals,Year,Country,Active nationals,Active foreigners,Active population,Unemployed population,Employed population,Unemployment rate total,Unemployment rate nationals,Unemployment rate foreigners,Change Active population,Change Active nationals,Change Active foreigners,Change Unemployed population,Change Unemployed nationals,Change Unemployed foreigners,Change Employed population,Change Employed nationals,Change Employed foreigners,Net increase active foreigners as % of last year active population
2012Euro area - 19 countries  (from 2015),22472.0,255432.69999999998,5463.0,30512.4,2012,Euro area - 19 countries  (from 2015),285945.1,27935.0,313880.1,35975.4,277904.69999999995,0.11461510302819454,0.10670719659123379,0.19556112403794523,1940.6999999999534,1334.0999999999767,606.6000000000022,3970.2000000000044,3515.2000000000044,455.0,-2029.5000000000582,-2181.100000000006,151.60000000000218,0.001944608472030151
2012European Union - 15 countries (1995-2004),27671.199999999997,308760.19999999995,6012.5,34327.9,2012,European Union - 15 countries (1995-2004),343088.1,33683.7,376771.8,40340.4,336431.39999999997,0.10706852264421064,0.1000556416850366,0.17849879912242422,2339.0999999999767,1649.899999999965,689.1999999999971,3979.800000000003,3525.7000000000044,454.09999999999945,-1640.7000000000116,-1875.8000000000466,235.09999999999854,0.0018406512038077793
2012European Union - 27 countries (from 2020),23439.4,341781.6,5655.0,39390.5,2012,European Union - 27 countries (from 2020),381172.1,29094.4,410266.5,45045.5,365221.0,0.1097957059618565,0.10334045959817102,0.19436730092388912,2451.6999999999534,1782.6999999999534,669.0,4297.300000000003,3831.9000000000015,465.39999999999964,-1845.600000000035,-2049.20000000007,203.60000000000218,0.0016404505182254297
2012European Union - 28 countries (2013-2020),28643.600000000002,393877.0,6188.6,43877.7,2012,European Union - 28 countries (2013-2020),437754.7,34832.200000000004,472586.9,50066.299999999996,422520.6,0.105940939116171,0.10023353261541224,0.17766893851091806,2888.399999999965,2153.5999999999767,734.8000000000029,4240.499999999993,3780.899999999994,459.60000000000036,-1352.1000000000931,-1627.3000000000466,275.2000000000007,0.00156440780628425
2012Finland,114.9,4746.700000000001,22.4,390.0,2012,Finland,5136.700000000001,137.3,5274.000000000001,412.4,4861.6,0.078194918467956,0.07592423151050284,0.16314639475600873,1.6000000000021828,-10.499999999998181,12.100000000000023,-4.0,-5.399999999999977,1.3999999999999986,5.600000000001273,-5.099999999998545,10.700000000000017,0.0022949700326227195
2012France,2826.0,48293.0,637.2,4705.7,2012,France,52998.7,3463.2,56461.899999999994,5342.9,51119.0,0.09462841314231367,0.08878897029549782,0.183991683991684,382.1999999999971,260.59999999999854,121.59999999999991,372.39999999999964,316.59999999999945,55.80000000000007,9.80000000000291,-56.0,65.80000000000018,0.0021683425553275055
2012Germany (until 1990 former territory of the FRG),6529.8,70111.4,752.4000000000001,3682.5,2012,Germany (until 1990 former territory of the FRG),73793.9,7282.200000000001,81076.09999999999,4434.9,76641.2,0.054700460431619184,0.04990249871601854,0.10332042514624702,201.1999999999971,-175.10000000000582,376.3000000000011,-349.2000000000007,-337.60000000000036,-11.599999999999909,550.4000000000087,162.5,387.90000000000055,0.004652865104006325
2012Greece,565.4,6704.799999999999,284.2,2099.6,2012,Greece,8804.4,849.5999999999999,9654.0,2383.7999999999997,7270.199999999999,0.2469235550031075,0.23847167325428195,0.3345103578154426,-60.79999999999927,-13.0,-47.799999999999955,624.5999999999997,527.1999999999998,97.39999999999998,-685.4000000000015,-540.2000000000007,-145.19999999999993,-0.0049203277473545476
2012Hungary,56.4,7529.1,3.5,937.2,2012,Hungary,8466.300000000001,59.9,8526.2,940.7,7585.5,0.11033051066125589,0.1106977073810283,0.05843071786310518,149.40000000000146,154.90000000000146,-5.500000000000007,12.5,12.399999999999977,0.10000000000000009,136.89999999999964,142.5,-5.600000000000001,-0.0006565753032184137
2012Iceland,18.8,302.8,2.2,18.8,2012,Iceland,321.6,21.0,342.6,21.0,321.6,0.06129597197898423,0.05845771144278607,0.10476190476190476,0.19999999999998863,-4.300000000000011,4.5,-3.1999999999999993,-3.799999999999997,0.6000000000000001,3.400000000000034,-0.5,3.900000000000002,0.01314252336448598
2012Ireland,544.8,3116.6,121.60000000000001,564.2,2012,Ireland,3680.8,666.4,4347.2,685.8000000000001,3661.3999999999996,0.1577567169672433,0.1532818952401652,0.18247298919567828,-17.399999999999636,-7.399999999999636,-10.0,2.0000000000001137,3.400000000000091,-1.3999999999999915,-19.400000000000546,-10.800000000000182,-8.600000000000023,-0.0022911607020116393
2012Italy,4199.4,40099.1,690.2,4676.2,2012,Italy,44775.299999999996,4889.599999999999,49664.899999999994,5366.4,44298.5,0.10805216561394466,0.10443704453124826,0.14115674083769636,1120.8999999999942,825.6999999999971,295.1999999999989,1252.199999999999,1117.5999999999995,134.60000000000002,-131.3000000000029,-291.90000000000146,160.59999999999945,0.006081081081081059
2012Latvia,245.2,1458.3999999999999,72.8,235.9,2012,Latvia,1694.3,318.0,2012.3,308.7,1703.6,0.15340654971922676,0.13923154104940094,0.2289308176100629,-0.9999999999997726,-1.699999999999818,0.6999999999999886,-23.500000000000057,-25.900000000000006,2.3999999999999915,22.5,24.200000000000045,-1.700000000000017,0.00034768787562707433
2012Lithuania,7.5,2474.0,0.0,389.59999999999997,2012,Lithuania,2863.6,7.5,2871.1,389.59999999999997,2481.5,0.13569711957089617,0.1360525213018578,0.0,-25.600000000000364,-26.800000000000182,1.2000000000000002,-61.80000000000001,-61.80000000000001,0.0,36.19999999999982,35.0,1.2000000000000002,0.0004142645078882867
2012Luxembourg,233.9,233.3,17.6,8.0,2012,Luxembourg,241.3,251.5,492.8,25.6,467.20000000000005,0.05194805194805195,0.03315375051802735,0.06998011928429423,25.19999999999999,6.5,18.69999999999999,2.6000000000000014,-0.09999999999999964,2.700000000000003,22.600000000000023,6.599999999999994,16.0,0.039991445680068405
2012Malta,23.8,317.4,0.5,21.7,2012,Malta,339.09999999999997,24.3,363.4,22.2,341.2,0.061089708310401766,0.0639929224417576,0.0205761316872428,12.699999999999989,-2.900000000000034,15.6,0.0,-0.10000000000000142,0.09999999999999998,12.699999999999989,-2.8000000000000114,15.5,0.04448246364414029
2012Montenegro,9.7,386.6,3.2,95.80000000000001,2012,Montenegro,482.40000000000003,12.899999999999999,495.3,99.00000000000001,396.3,0.19987886129618415,0.19859038142620233,0.24806201550387602,14.5,14.100000000000023,0.3999999999999986,4.700000000000017,2.8000000000000114,1.9000000000000001,9.800000000000011,11.300000000000011,-1.5,0.0008319467554076509
2012Netherlands,612.0,15610.399999999998,75.4,926.5999999999999,2012,Netherlands,16536.999999999996,687.4,17224.399999999998,1001.9999999999999,16222.399999999998,0.058173289055061424,0.056031928402975155,0.10968868199010766,201.29999999999927,151.1999999999971,50.10000000000002,159.39999999999998,150.0,9.400000000000006,41.89999999999782,1.1999999999970896,40.700000000000045,0.0029430597247269903
2012North Macedonia,1.9,1284.6,0.9,581.8,2012,North Macedonia,1866.3999999999999,2.8,1869.1999999999998,582.6999999999999,1286.5,0.311737641771881,0.3117231033004715,0.32142857142857145,3.599999999999909,0.7999999999999545,2.8,-5.900000000000091,-6.800000000000068,0.9,9.5,7.599999999999909,1.9,0.0015008576329331046
2012Norway,382.4,4628.5,28.299999999999997,137.6,2012,Norway,4766.1,410.7,5176.8,165.89999999999998,5010.9,0.03204682429299953,0.028870565032206624,0.06890674458242026,89.19999999999891,28.099999999999454,61.099999999999966,-1.5000000000000284,-3.200000000000017,1.6999999999999993,90.69999999999891,31.299999999999272,59.39999999999998,0.012009591949052588
2012Poland,53.9,30626.6,0.0,3486.0,2012,Poland,34112.6,53.9,34166.5,3486.0,30680.5,0.10202976599885853,0.10219097928624614,0.0,236.5,230.79999999999563,5.700000000000003,181.19999999999982,181.19999999999982,0.0,55.29999999999927,49.599999999998545,5.700000000000003,0.00016799292661361635
2012Portugal,238.8,8273.0,86.5,1575.6,2012,Portugal,9848.6,325.3,10173.9,1662.1,8511.8,0.1633690128662558,0.15998212943971732,0.26590839225330465,-103.10000000000036,-40.19999999999891,-62.900000000000034,291.5,291.5999999999999,-0.10000000000000853,-394.60000000000036,-331.7999999999993,-62.80000000000001,-0.0061204631701858555
2012Romania,0.0,16431.0,0.0,1254.1,2012,Romania,17685.1,0.0,17685.1,1254.1,16431.0,0.07091280230250324,0.07091280230250324,,95.69999999999709,95.69999999999709,0.0,-64.09999999999991,-64.09999999999991,0.0,159.79999999999927,159.79999999999927,0.0,0.0
2012Serbia,14.6,4255.2,2.5,1387.1,2012,Serbia,5642.299999999999,17.1,5659.4,1389.6,4269.8,0.24553839629642718,0.2458394626304876,0.14619883040935672,4.699999999998909,4.199999999998909,0.5,58.59999999999991,56.09999999999991,2.5,-53.900000000000546,-51.900000000000546,-2.0000000000000018,8.842202062001519e-05
2012Slovakia,6.6,4626.0,0.0,754.0,2012,Slovakia,5380.0,6.6,5386.6,754.0,4632.6,0.13997697991311772,0.14014869888475837,0.0,52.50000000000091,52.80000000000018,-0.3000000000000007,25.199999999999932,25.199999999999932,0.0,27.30000000000109,27.600000000000364,-0.3000000000000007,-5.624191522468659e-05
2012Slovenia,44.300000000000004,1768.6,8.2,171.1,2012,Slovenia,1939.6999999999998,52.5,1992.1999999999998,179.29999999999998,1812.8999999999999,0.09000100391526955,0.0882095169356086,0.15619047619047619,-3.800000000000182,-13.700000000000273,9.899999999999999,12.799999999999983,9.699999999999989,3.0999999999999996,-16.600000000000136,-23.40000000000009,6.800000000000004,0.004959919839679358
2012Spain,4186.5,30767.200000000004,2359.2,9249.8,2012,Spain,40017.0,6545.7,46562.7,11609.0,34953.700000000004,0.2493197344655701,0.231146762625884,0.36041981759017366,1.7999999999956344,255.40000000000146,-253.60000000000036,1589.8999999999996,1454.199999999999,135.69999999999982,-1588.0999999999985,-1198.7999999999956,-389.3000000000002,-0.005446630112390447
2012Sweden,435.20000000000005,8576.4,115.5,679.3,2012,Sweden,9255.699999999999,550.7,9806.4,794.8,9011.6,0.0810491107847936,0.07339261212009897,0.2097330670056292,43.69999999999891,26.899999999997817,16.800000000000068,21.799999999999955,17.09999999999991,4.700000000000003,21.899999999999636,9.799999999999272,12.100000000000023,0.001720835424626391
2012Switzerland,2031.4,6394.0,174.5,231.8,2012,Switzerland,6625.8,2205.9,8831.7,406.3,8425.4,0.046004732950621054,0.034984454707356095,0.07910603381839612,101.30000000000109,12.800000000000182,88.50000000000045,12.500000000000057,1.0000000000000284,11.5,88.79999999999927,11.800000000000182,77.00000000000023,0.010136992577659725
2012Turkey,0.0,0.0,0.0,0.0,2012,Turkey,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012United Kingdom,5204.2,52095.399999999994,533.6,4487.299999999999,2012,United Kingdom,56582.7,5737.8,62320.5,5020.9,57299.59999999999,0.08056578493433139,0.07930515864389645,0.09299731604447697,437.0,371.1999999999971,65.80000000000018,-56.599999999999454,-50.80000000000018,-5.7999999999999545,493.59999999999127,421.9999999999927,71.59999999999945,0.0010632882755500284
2013Austria,966.8,7093.4,109.0,353.1,2013,Austria,7446.5,1075.8,8522.3,462.1,8060.2,0.05422245168557784,0.04741825018465051,0.10131994794571482,78.39999999999782,32.599999999999454,45.799999999999955,44.89999999999998,33.5,11.400000000000006,33.5,-0.9000000000005457,34.39999999999998,0.005424033917976284
2013Belgium,837.2,8131.900000000001,180.2,652.5,2013,Belgium,8784.400000000001,1017.4000000000001,9801.800000000001,832.7,8969.1,0.08495378399885735,0.07427940439870678,0.177118144289365,107.0,57.80000000000109,49.200000000000045,96.0,82.29999999999995,13.699999999999989,11.0,-24.49999999999909,35.5,0.005074885505631889
2013Bulgaria,4.5,5769.900000000001,0.0,864.9,2013,Bulgaria,6634.8,4.5,6639.3,864.9,5774.400000000001,0.13026975735393792,0.13035811177428105,0.0,37.00000000000091,36.400000000000546,0.6000000000000001,48.5,48.5,0.0,-11.49999999999909,-12.099999999999454,0.6000000000000001,9.08774215046272e-05
2013Croatia,5.5,2981.2,0.0,633.6,2013,Croatia,3614.7999999999997,5.5,3620.2999999999997,633.6,2986.7,0.17501312045963044,0.17527940688281513,0.0,-27.09999999999991,-27.40000000000009,0.3000000000000007,41.80000000000007,41.80000000000007,0.0,-68.89999999999964,-69.19999999999982,0.3000000000000007,8.225037012666577e-05
2013Cyprus,153.6,559.8,29.1,107.6,2013,Cyprus,667.4,182.7,850.0999999999999,136.7,713.4,0.16080461122220915,0.16122265507941264,0.15927750410509034,-2.8999999999999773,15.300000000000068,-18.200000000000017,33.79999999999998,31.299999999999997,2.5,-36.69999999999993,-16.0,-20.700000000000017,-0.021336459554513503
2013Czechia,180.6,9511.2,14.0,721.1,2013,Czechia,10232.300000000001,194.6,10426.900000000001,735.1,9691.800000000001,0.07050034046552665,0.07047291420306284,0.07194244604316546,77.30000000000291,41.50000000000182,35.79999999999998,6.100000000000023,1.1000000000000227,5.0,71.20000000000255,40.400000000001455,30.799999999999983,0.0034590708819664515
2013Denmark,287.4,4824.8,48.4,370.79999999999995,2013,Denmark,5195.6,335.79999999999995,5531.400000000001,419.19999999999993,5112.2,0.0757855154210507,0.07136808068365538,0.14413341274568198,-43.69999999999982,-80.30000000000018,36.599999999999966,-26.800000000000068,-22.400000000000034,-4.399999999999999,-16.900000000000546,-57.900000000000546,40.99999999999997,0.006564904665387161
2013Estonia,176.2,1017.0,29.9,86.0,2013,Estonia,1103.0,206.1,1309.1,115.9,1193.2,0.08853410740203194,0.07796917497733455,0.14507520621057737,-7.7000000000000455,0.5,-8.199999999999989,-19.0,-9.799999999999997,-9.200000000000003,11.299999999999955,10.299999999999955,1.0,-0.006227217496962325
2013Euro area - 19 countries  (from 2015),22530.7,253627.39999999997,5637.0,32388.799999999996,2013,Euro area - 19 countries  (from 2015),286016.19999999995,28167.7,314183.89999999997,38025.799999999996,276158.1,0.12103039016321333,0.11324113808938095,0.2001228357302868,303.79999999998836,71.09999999997672,232.70000000000073,2050.399999999994,1876.3999999999942,174.0,-1746.5999999999767,-1805.3000000000175,58.70000000000073,0.0007413658909883129
2013European Union - 15 countries (1995-2004),27947.800000000003,307319.6,6226.6,36031.8,2013,European Union - 15 countries (1995-2004),343351.39999999997,34174.4,377525.8,42258.4,335267.39999999997,0.11193513132082629,0.10494146812857034,0.18220071164380355,754.0,263.29999999998836,490.70000000000437,1918.0,1703.9000000000015,214.10000000000036,-1164.0,-1440.5999999999767,276.6000000000058,0.0013023798490226827
2013European Union - 27 countries (from 2020),23620.4,339913.0,5848.0,41410.1,2013,European Union - 27 countries (from 2020),381323.1,29468.4,410791.5,47258.1,363533.4,0.11504157218442933,0.10859583382176427,0.19844986494007139,525.0,151.0,374.0,2212.5999999999985,2019.5999999999985,193.0,-1687.5999999999767,-1868.5999999999767,181.0,0.0009116025802740413
2013European Union - 28 countries (2013-2020),28920.2,392446.4,6385.4,45705.6,2013,European Union - 28 countries (2013-2020),438152.0,35305.6,473457.6,52091.0,421366.60000000003,0.11002252366420985,0.10431448447114243,0.18086082661107586,870.6999999999534,397.29999999998836,473.3999999999942,2024.7000000000044,1827.9000000000015,196.79999999999927,-1153.9999999999418,-1430.5999999999767,276.59999999999854,0.0010017205301289438
2013Finland,130.8,4675.1,25.8,411.29999999999995,2013,Finland,5086.400000000001,156.60000000000002,5243.000000000001,437.09999999999997,4805.900000000001,0.08336830059126452,0.08086269267065113,0.1647509578544061,-31.0,-50.30000000000018,19.30000000000001,24.69999999999999,21.299999999999955,3.400000000000002,-55.69999999999982,-71.60000000000036,15.900000000000006,0.0036594615092908622
2013France,2771.0,48294.2,654.0,5000.6,2013,France,53294.799999999996,3425.0,56719.799999999996,5654.6,51065.2,0.09969358143011789,0.0938290414824711,0.19094890510948906,257.90000000000146,296.09999999999854,-38.19999999999982,311.7000000000007,294.90000000000055,16.799999999999955,-53.80000000000291,1.1999999999970896,-55.0,-0.0006765624252814699
2013Germany (until 1990 former territory of the FRG),6871.1,70408.79999999999,742.8000000000001,3605.5,2013,Germany (until 1990 former territory of the FRG),74014.29999999999,7613.900000000001,81628.19999999998,4348.3,77279.9,0.05326958085563569,0.04871355940676329,0.0975584129027174,552.0999999999913,220.39999999999418,331.6999999999998,-86.59999999999945,-77.0,-9.600000000000023,638.6999999999971,297.3999999999942,341.3000000000002,0.004091218003826033
2013Greece,501.5,6413.7,310.6,2338.6,2013,Greece,8752.3,812.1,9564.4,2649.2,6915.2,0.27698548785078,0.26719833643727936,0.38246521364363995,-89.60000000000036,-52.100000000000364,-37.499999999999886,265.4000000000001,239.0,26.400000000000034,-354.9999999999991,-291.09999999999945,-63.89999999999998,-0.0038844002486016042
2013Hungary,51.5,7668.6,3.2,874.1999999999999,2013,Hungary,8542.800000000001,54.7,8597.500000000002,877.4,7720.1,0.10205292236115147,0.10233178817249612,0.05850091407678245,71.30000000000109,76.5,-5.199999999999996,-63.30000000000007,-63.000000000000114,-0.2999999999999998,134.60000000000036,139.5,-4.899999999999999,-0.0006098848255963965
2013Iceland,18.8,312.0,1.6,17.1,2013,Iceland,329.1,20.400000000000002,349.5,18.700000000000003,330.8,0.05350500715307583,0.05195989061075661,0.0784313725490196,6.899999999999977,7.5,-0.5999999999999979,-2.299999999999997,-1.6999999999999993,-0.6000000000000001,9.199999999999989,9.199999999999989,0.0,-0.001751313485113829
2013Ireland,552.4,3217.7,111.4,503.40000000000003,2013,Ireland,3721.1,663.8,4384.9,614.8000000000001,3770.1,0.1402084426098657,0.13528257773239097,0.1678216330219946,37.69999999999982,40.29999999999973,-2.6000000000000227,-71.0,-60.80000000000001,-10.200000000000003,108.70000000000027,101.09999999999991,7.600000000000023,-0.0005980861244019192
2013Italy,4335.8,39174.8,907.5,5214.5,2013,Italy,44389.3,5243.3,49632.600000000006,6122.0,43510.600000000006,0.12334634897224807,0.1174720033882039,0.1730780233822211,-32.29999999998836,-385.9999999999927,353.7000000000007,755.6000000000004,538.3000000000002,217.29999999999995,-787.8999999999942,-924.2999999999956,136.40000000000055,0.0071217298333430806
2013Latvia,222.1,1510.7,47.0,191.7,2013,Latvia,1702.4,269.1,1971.5,238.7,1732.8,0.12107532335784935,0.11260573308270676,0.17465626161278333,-40.799999999999955,8.100000000000136,-48.89999999999998,-70.0,-44.20000000000002,-25.799999999999997,29.200000000000045,52.30000000000018,-23.099999999999994,-0.024300551607613168
2013Lithuania,15.2,2513.5,0.0,342.4,2013,Lithuania,2855.9,15.2,2871.1,342.4,2528.7,0.11925742746682456,0.11989215308659265,0.0,0.0,-7.699999999999818,7.699999999999999,-47.19999999999999,-47.19999999999999,0.0,47.19999999999982,39.5,7.699999999999999,0.0026818989237574445
2013Luxembourg,236.8,235.39999999999998,20.799999999999997,8.7,2013,Luxembourg,244.09999999999997,257.6,501.7,29.499999999999996,472.2,0.05880007972892166,0.035641130684145844,0.08074534161490682,8.899999999999977,2.7999999999999545,6.100000000000023,3.899999999999995,0.6999999999999993,3.1999999999999957,4.999999999999943,2.099999999999966,2.9000000000000057,0.012378246753246799
2013Malta,31.1,326.1,1.0,22.5,2013,Malta,348.6,32.1,380.70000000000005,23.5,357.20000000000005,0.061728395061728385,0.06454388984509465,0.03115264797507788,17.300000000000068,9.500000000000057,7.800000000000001,1.3000000000000007,0.8000000000000007,0.5,16.000000000000057,8.700000000000045,7.300000000000001,0.021463951568519542
2013Montenegro,11.799999999999999,388.20000000000005,4.0,92.8,2013,Montenegro,481.00000000000006,15.799999999999999,496.80000000000007,96.8,400.00000000000006,0.19484702093397743,0.19293139293139291,0.25316455696202533,1.5000000000000568,-1.3999999999999773,2.9000000000000004,-2.200000000000017,-3.000000000000014,0.7999999999999998,3.7000000000000455,1.6000000000000227,2.0999999999999996,0.005855037351100344
2013Netherlands,609.0,15445.2,98.19999999999999,1156.0,2013,Netherlands,16601.2,707.2,17308.4,1254.2,16054.2,0.07246192600124794,0.06963352046839986,0.1388574660633484,84.00000000000364,64.20000000000437,19.800000000000068,252.20000000000016,229.4000000000001,22.799999999999983,-168.1999999999971,-165.1999999999971,-3.0,0.0011495320591718766
2013North Macedonia,0.0,1345.1999999999998,0.5,552.4,2013,North Macedonia,1897.6,0.5,1898.1,552.9,1345.1999999999998,0.2912912912912913,0.2911045531197302,1.0,28.90000000000009,31.200000000000045,-2.3,-29.799999999999955,-29.399999999999977,-0.4,58.69999999999982,60.59999999999991,-1.9,-0.001230472929595549
2013Norway,421.0,4618.4,34.6,148.8,2013,Norway,4767.2,455.6,5222.8,183.4,5039.4,0.035115263843149266,0.03121329082060749,0.07594381035996488,46.0,1.0999999999994543,44.900000000000034,17.50000000000003,11.200000000000017,6.300000000000004,28.5,-10.100000000000364,38.60000000000002,0.008673311698346476
2013Poland,59.199999999999996,30567.399999999998,5.1,3565.8,2013,Poland,34133.2,64.3,34197.5,3570.9,30626.6,0.10441991373638423,0.10446720495001935,0.07931570762052877,31.0,20.599999999998545,10.399999999999999,84.90000000000009,79.80000000000018,5.1,-53.900000000001455,-59.20000000000073,5.299999999999997,0.00030439172874014017
2013Portugal,226.39999999999998,8089.6,93.30000000000001,1610.2,2013,Portugal,9699.800000000001,319.7,10019.500000000002,1703.5,8316.0,0.1700184639952093,0.16600342275098454,0.2918360963403191,-154.39999999999782,-148.79999999999927,-5.600000000000023,41.40000000000009,34.600000000000136,6.800000000000011,-195.79999999999927,-183.39999999999964,-12.400000000000034,-0.0005504280561043477
2013Romania,0.0,16346.6,0.0,1305.6,2013,Romania,17652.2,0.0,17652.2,1305.6,16346.6,0.07396245227223801,0.07396245227223801,,-32.89999999999782,-32.89999999999782,0.0,51.5,51.5,0.0,-84.39999999999964,-84.39999999999964,0.0,0.0
2013Serbia,7.1000000000000005,4366.099999999999,2.2,1298.4,2013,Serbia,5664.5,9.3,5673.8,1300.6000000000001,4373.2,0.22922908808911138,0.22921705357930974,0.23655913978494625,14.400000000000546,22.200000000000728,-7.800000000000001,-88.99999999999977,-88.69999999999982,-0.2999999999999998,103.39999999999964,110.89999999999964,-7.499999999999999,-0.0013782379757571476
2013Slovakia,8.0,4625.4,0.0,770.3,2013,Slovakia,5395.7,8.0,5403.7,770.3,4633.4,0.14255047467475987,0.14276182886372482,0.0,17.099999999999454,15.699999999999818,1.4000000000000004,16.299999999999955,16.299999999999955,0.0,0.7999999999992724,-0.6000000000003638,1.4000000000000004,0.00025990420673523194
2013Slovenia,46.5,1729.6,15.399999999999999,188.1,2013,Slovenia,1917.6999999999998,61.9,1979.6,203.5,1776.1,0.10279854516063852,0.09808624915263076,0.24878836833602583,-12.599999999999909,-22.0,9.399999999999999,24.200000000000017,17.0,7.199999999999999,-36.799999999999955,-39.0,2.1999999999999957,0.004718401766890874
2013Spain,3837.2,30165.9,2257.8,9825.9,2013,Spain,39991.8,6095.0,46086.8,12083.7,34003.1,0.2621943810375205,0.24569786806295288,0.37043478260869567,-475.8999999999942,-25.19999999999709,-450.6999999999998,474.7000000000007,576.1000000000004,-101.39999999999964,-950.6000000000058,-601.3000000000029,-349.3000000000002,-0.009679421511209613
2013Sweden,484.8,8615.8,129.2,685.1,2013,Sweden,9300.9,614.0,9914.9,814.3,9100.599999999999,0.08212891708438814,0.0736595383242482,0.21042345276872962,108.5,45.20000000000073,63.299999999999955,19.5,5.800000000000068,13.699999999999989,88.99999999999818,39.399999999999636,49.599999999999966,0.006454968184043069
2013Switzerland,2080.5,6406.8,202.2,232.6,2013,Switzerland,6639.400000000001,2282.7,8922.1,434.79999999999995,8487.3,0.048732921621591326,0.03503328614031388,0.08857931397029833,90.39999999999964,13.600000000000364,76.79999999999973,28.499999999999943,0.799999999999983,27.69999999999999,61.899999999999636,12.800000000000182,49.09999999999991,0.008695947552566292
2013Turkey,0.0,0.0,0.0,0.0,2013,Turkey,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013United Kingdom,5299.799999999999,52533.4,537.4000000000001,4295.5,2013,United Kingdom,56828.9,5837.199999999999,62666.1,4832.9,57833.2,0.07712144205559306,0.07558654135483882,0.0920646885493045,345.59999999999854,246.20000000000437,99.39999999999873,-188.0,-191.79999999999927,3.800000000000068,533.6000000000058,438.0000000000073,95.59999999999945,0.0015949807848139653
2014Austria,1039.2,7029.2,131.8,356.79999999999995,2014,Austria,7386.0,1171.0,8557.0,488.59999999999997,8068.4,0.0570994507420825,0.048307608989981037,0.11255337318531171,34.70000000000073,-60.5,95.20000000000005,26.499999999999943,3.699999999999932,22.80000000000001,8.199999999999818,-64.19999999999982,72.40000000000009,0.011170693357426991
2014Belgium,874.2,8120.6,183.39999999999998,662.6999999999999,2014,Belgium,8783.300000000001,1057.6,9840.900000000001,846.0999999999999,8994.800000000001,0.08597790852462679,0.07545000170778635,0.17341149773071105,39.100000000000364,-1.1000000000003638,40.19999999999982,13.399999999999864,10.199999999999932,3.1999999999999886,25.700000000000728,-11.300000000000182,37.0,0.00410128751861901
2014Bulgaria,5.0,5844.8,0.0,762.1,2014,Bulgaria,6606.900000000001,5.0,6611.900000000001,762.1,5849.8,0.11526187631391883,0.11534910472384931,0.0,-27.399999999999636,-27.899999999999636,0.5,-102.79999999999995,-102.79999999999995,0.0,75.39999999999964,74.89999999999964,0.5,7.530914403626888e-05
2014Croatia,5.199999999999999,3078.3,0.0,650.5,2014,Croatia,3728.8,5.199999999999999,3734.0,650.5,3083.5,0.17420996250669524,0.17445290710148037,0.0,113.70000000000027,114.00000000000045,-0.3000000000000007,16.899999999999977,16.899999999999977,0.0,96.80000000000018,97.10000000000036,-0.3000000000000007,-8.286606082368885e-05
2014Cyprus,138.6,571.5,22.8,116.1,2014,Cyprus,687.6,161.4,849.0,138.9,710.1,0.16360424028268553,0.168848167539267,0.1412639405204461,-1.099999999999909,20.200000000000045,-21.299999999999983,2.200000000000017,8.5,-6.300000000000001,-3.2999999999999545,11.700000000000045,-15.0,-0.02505587577932006
2014Czechia,195.4,9571.4,12.600000000000001,632.2,2014,Czechia,10203.6,208.0,10411.6,644.8000000000001,9766.8,0.06193092320104499,0.06195852444235368,0.060576923076923084,-15.300000000001091,-28.700000000000728,13.400000000000006,-90.29999999999995,-88.89999999999998,-1.3999999999999986,74.99999999999818,60.19999999999891,14.800000000000011,0.0012851374809387261
2014Denmark,323.6,4830.4,57.4,337.6,2014,Denmark,5168.0,381.0,5549.0,395.0,5154.0,0.07118399711659759,0.06532507739938082,0.1506561679790026,17.599999999999454,-27.600000000000364,45.200000000000045,-24.199999999999932,-33.19999999999993,9.0,41.80000000000018,5.599999999999454,36.200000000000045,0.008171529811620936
2014Estonia,167.8,1031.1,24.7,73.0,2014,Estonia,1104.1,192.5,1296.6,97.7,1198.8999999999999,0.0753509177849761,0.06611719952902817,0.12831168831168832,-12.5,1.099999999999909,-13.599999999999994,-18.200000000000003,-13.0,-5.199999999999999,5.699999999999818,14.099999999999909,-8.399999999999977,-0.01038881674432816
2014Euro area - 19 countries  (from 2015),23171.199999999997,255469.6,5290.0,31864.7,2014,Euro area - 19 countries  (from 2015),287334.3,28461.199999999997,315795.5,37154.7,278640.8,0.11765430476368409,0.11089765475266963,0.18586707517602913,1611.600000000035,1318.100000000035,293.49999999999636,-871.0999999999985,-524.0999999999949,-347.0,2482.7000000000116,1842.2000000000407,640.4999999999964,0.0009341662637709838
2014European Union - 15 countries (1995-2004),29140.199999999997,309901.5,5830.599999999999,34773.8,2014,European Union - 15 countries (1995-2004),344675.3,34970.799999999996,379646.1,40604.4,339041.7,0.10695329149963612,0.10088857542156343,0.16672766994178,2120.2999999999884,1323.9000000000233,796.3999999999942,-1654.0,-1258.0,-396.0000000000009,3774.3000000000466,2581.9000000000233,1192.3999999999942,0.002109524700033731
