,Employed foreigners,Employed nationals,Unemployed foreigners,Unemployed nationals,Year,Country,Active nationals,Active foreigners,Active population,Unemployed population,Employed population,Unemployment rate total,Unemployment rate nationals,Unemployment rate foreigners,Change Active population,Change Active nationals,Change Active foreigners,Change Unemployed population,Change Unemployed nationals,Change Unemployed foreigners,Change Employed population,Change Employed nationals,Change Employed foreigners,Net increase active foreigners as % of last year active population
2010North Macedonia,0.0,1259.4,0.0,599.0,2010,North Macedonia,1858.4,0.0,1858.4,599.0,1259.4,0.32232027550581144,0.32232027550581144,,0,0,0,0,0,0,0,0,0,0
2010Norway,271.4,4590.4,25.799999999999997,155.2,2010,Norway,4745.599999999999,297.2,5042.799999999999,181.0,4861.799999999999,0.03589275799159198,0.03270397842211733,0.08681022880215343,0,0,0,0,0,0,0,0,0,0
2010Poland,45.599999999999994,30419.7,0.0,3283.8,2010,Poland,33703.5,45.599999999999994,33749.1,3283.8,30465.3,0.09730037245437657,0.09743201744625929,0.0,0,0,0,0,0,0,0,0,0,0
2010Portugal,387.59999999999997,8765.6,90.3,1088.7,2010,Portugal,9854.300000000001,477.9,10332.2,1179.0,9153.2,0.11410928940593483,0.1104796890697462,0.18895166352793472,0,0,0,0,0,0,0,0,0,0
2010Romania,0.0,16604.6,0.0,1302.3,2010,Romania,17906.899999999998,0.0,17906.899999999998,1302.3,16604.6,0.07272615583936919,0.07272615583936919,,0,0,0,0,0,0,0,0,0,0
2010Serbia,22.0,4525.8,0.0,1128.6,2010,Serbia,5654.4,22.0,5676.4,1128.6,4547.8,0.19882319780142343,0.19959677419354838,0.0,0,0,0,0,0,0,0,0,0,0
2010Slovakia,9.2,4604.4,0.0,777.8,2010,Slovakia,5382.2,9.2,5391.4,777.8,4613.599999999999,0.1442667952665356,0.14451339600906693,0.0,0,0,0,0,0,0,0,0,0,0
2010Slovenia,27.200000000000003,1855.9,4.300000000000001,146.4,2010,Slovenia,2002.3000000000002,31.500000000000004,2033.8000000000002,150.70000000000002,1883.1000000000001,0.0740977480578228,0.07311591669579982,0.13650793650793652,0,0,0,0,0,0,0,0,0,0
2010Spain,4882.4,32265.0,2092.2,7180.299999999999,2010,Spain,39445.3,6974.599999999999,46419.9,9272.5,37147.4,0.19975269227206435,0.18203182635193543,0.29997419206836234,0,0,0,0,0,0,0,0,0,0
2010Sweden,410.8,8389.0,95.1,747.4000000000001,2010,Sweden,9136.4,505.9,9642.3,842.5000000000001,8799.8,0.08737541872789689,0.08180464953373322,0.1879818145878632,0,0,0,0,0,0,0,0,0,0
2010Switzerland,1852.3999999999999,6319.8,179.0,243.7,2010,Switzerland,6563.5,2031.3999999999999,8594.9,422.7,8172.2,0.04918032786885246,0.03712958025443742,0.08811656985330314,0,0,0,0,0,0,0,0,0,0
2010Turkey,0.0,0.0,0.0,0.0,2010,Turkey,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0
2010United Kingdom,4663.4,51824.4,464.0,4404.0,2010,United Kingdom,56228.4,5127.4,61355.8,4868.0,56487.8,0.07934050244638648,0.07832340952259001,0.09049420759059174,0,0,0,0,0,0,0,0,0,0
2011Austria,882.6,7082.200000000001,89.2,297.6,2011,Austria,7379.800000000001,971.8000000000001,8351.6,386.8,7964.800000000001,0.046314478662771205,0.04032629610558552,0.09178843383412225,57.600000000000364,13.200000000000728,44.40000000000009,-19.600000000000023,-22.0,2.4000000000000057,77.20000000000073,35.20000000000073,42.0,0.00535326742223295
2011Belgium,802.2,8138.8,148.2,544.6,2011,Belgium,8683.4,950.4000000000001,9633.8,692.8,8941.0,0.07191347131972846,0.0627173687726006,0.1559343434343434,-78.39999999999964,-118.39999999999964,40.000000000000114,-118.20000000000005,-117.39999999999998,-0.8000000000000114,39.80000000000109,-0.9999999999990905,40.80000000000007,0.004118531331727118
2011Bulgaria,3.5,5848.0,0.0,748.8,2011,Bulgaria,6596.8,3.5,6600.3,748.8,5851.5,0.11344938866415162,0.11350958040261944,0.0,-169.39999999999873,-168.9999999999991,-0.3999999999999999,49.200000000000045,49.200000000000045,0.0,-218.59999999999945,-218.19999999999982,-0.3999999999999999,-5.908681330044167e-05
2011Croatia,4.5,3162.3999999999996,0.0,513.3,2011,Croatia,3675.7,4.5,3680.2,513.3,3166.8999999999996,0.13947611542850932,0.13964686998394862,0.0,-59.400000000000546,-57.900000000000546,-1.5,70.29999999999995,70.29999999999995,0.0,-129.70000000000073,-128.20000000000073,-1.5,-0.0004011124184404749
2011Cyprus,175.0,597.6,19.1,48.8,2011,Cyprus,646.4,194.1,840.5,67.9,772.6,0.08078524687685902,0.07549504950495049,0.09840288511076765,23.399999999999977,8.699999999999932,14.699999999999989,15.300000000000004,11.599999999999994,3.700000000000001,8.100000000000023,-2.8999999999999773,11.0,0.017990454044792544
2011Czechia,142.4,9450.0,8.7,690.1999999999999,2011,Czechia,10140.2,151.1,10291.300000000001,698.9,9592.4,0.06791173126815853,0.06806571862487919,0.057577763070814025,-93.0,-93.5,0.4999999999999716,-66.0,-67.90000000000009,1.8999999999999995,-27.0,-25.600000000000364,-1.4000000000000057,4.8149610469648556e-05
2011Denmark,219.79999999999998,4955.2,47.599999999999994,399.2,2011,Denmark,5354.4,267.4,5621.799999999999,446.79999999999995,5175.0,0.0794763243089402,0.0745555057522785,0.17801047120418848,-21.100000000000364,-55.600000000000364,34.5,1.099999999999909,-8.000000000000057,9.099999999999994,-22.199999999999818,-47.600000000000364,25.400000000000006,0.006113877616119372
2011Estonia,171.39999999999998,991.6,47.699999999999996,120.1,2011,Estonia,1111.7,219.09999999999997,1330.8,167.79999999999998,1163.0,0.12608957018334835,0.1080327426463974,0.21770880876312187,7.7000000000000455,25.90000000000009,-18.200000000000017,-58.900000000000006,-36.099999999999994,-22.800000000000004,66.60000000000014,62.000000000000114,4.599999999999994,-0.013755574030685525
2011Euro area - 19 countries  (from 2015),22320.399999999998,257613.8,5008.0,26997.199999999997,2011,Euro area - 19 countries  (from 2015),284611.0,27328.399999999998,311939.4,32005.199999999997,279934.2,0.10260069744315721,0.09485648832968507,0.18325258705229727,235.60000000003492,59.79999999998836,175.79999999999927,119.09999999999854,48.19999999999709,70.89999999999964,116.5,11.599999999976717,104.90000000000146,0.0005639969740503622
2011European Union - 15 countries (1995-2004),27436.1,310636.0,5558.400000000001,30802.199999999997,2011,European Union - 15 countries (1995-2004),341438.2,32994.5,374432.7,36360.6,338072.1,0.0971085057474948,0.0902131044505272,0.16846444104320418,1053.9000000000233,256.6000000000349,797.2999999999993,499.20000000000437,288.59999999999854,210.60000000000127,554.6999999999534,-32.0,586.6999999999971,0.0021353649430551473
2011European Union - 27 countries (from 2020),23235.8,343830.80000000005,5189.6,35558.6,2011,European Union - 27 countries (from 2020),379389.4,28425.4,407814.80000000005,40748.2,367066.60000000003,0.09991839432997525,0.09372586582545532,0.18256911072491505,-87.39999999996508,-327.5999999999767,240.20000000000437,132.6999999999971,35.5,97.20000000000073,-220.09999999997672,-363.0999999999767,143.0,0.0005888666449948158
2011European Union - 28 countries (2013-2020),28368.4,395504.30000000005,5729.0,40096.8,2011,European Union - 28 countries (2013-2020),435601.10000000003,34097.4,469698.50000000006,45825.8,423872.70000000007,0.09756428858086623,0.09204935432899504,0.16801867591077324,440.4000000000233,-344.29999999998836,784.7000000000044,342.1000000000058,169.60000000000582,172.5,98.30000000004657,-513.8999999999651,612.2000000000007,0.0016722140757932666
2011Finland,104.19999999999999,4751.799999999999,21.0,395.4,2011,Finland,5147.199999999999,125.19999999999999,5272.399999999999,416.4,4855.999999999999,0.07897731583339657,0.0768184644078334,0.16773162939297126,4.599999999998545,-3.400000000001455,7.999999999999986,-31.19999999999999,-29.19999999999999,-2.0,35.79999999999927,25.799999999999272,9.999999999999986,0.0015186605414024802
2011France,2760.2,48349.0,581.4,4389.1,2011,France,52738.1,3341.6,56079.7,4970.5,51109.2,0.08863278512545539,0.08322446201133527,0.17398850849892267,-64.80000000000291,-162.09999999999854,97.30000000000018,-27.399999999999636,-77.89999999999964,50.5,-37.400000000001455,-84.19999999999709,46.80000000000018,0.0017330281683869335
