dep,date,month,tx_incid
01,2020-12-09,2020-12,153.1307319375
01,2020-12-10,2020-12,156.175080484965
01,2020-12-11,2020-12,156.936167621831
01,2020-12-12,2020-12,158.76277675031
01,2020-12-13,2020-12,159.067211605057
01,2020-12-14,2020-12,158.153907040817
01,2020-12-15,2020-12,161.350473015656
01,2020-12-16,2020-12,161.959342725149
01,2020-12-17,2020-12,167.743604965332
01,2020-12-18,2020-12,182.965347702658
01,2020-12-19,2020-12,198.948177576851
01,2020-12-20,2020-12,214.931007451043
01,2020-12-21,2020-12,212.647746040444
01,2020-12-22,2020-12,220.106399981734
01,2020-12-23,2020-12,222.38966139233298
01,2020-12-24,2020-12,211.125571766712
01,2020-12-25,2020-12,172.31012778653
01,2020-12-26,2020-12,159.067211605057
01,2020-12-27,2020-12,144.30212114985
01,2020-12-28,2020-12,147.955339406809
01,2020-12-29,2020-12,142.171077166625
01,2020-12-30,2020-12,148.868643971048
01,2020-12-31,2020-12,156.47951533971099
01,2021-01-01,2021-01,155.413993348098
01,2021-01-02,2021-01,157.392819903951
01,2021-01-03,2021-01,158.61055932293698
01,2021-01-04,2021-01,170.635736085424
01,2021-01-05,2021-01,178.094390026714
01,2021-01-06,2021-01,174.59338919712897
01,2021-01-07,2021-01,180.834303719433
01,2021-01-08,2021-01,218.736443135375
01,2021-01-09,2021-01,215.23544230578997
01,2021-01-10,2021-01,217.975355998508
01,2021-01-11,2021-01,209.90783234772599
01,2021-01-12,2021-01,202.296960979063
01,2021-01-13,2021-01,206.711266372887
01,2021-01-14,2021-01,206.10239666339402
01,2021-01-15,2021-01,203.36248297067502
01,2021-01-16,2021-01,205.49352695390098
01,2021-01-17,2021-01,200.013699568464
01,2021-01-18,2021-01,208.690092928739
01,2021-01-19,2021-01,214.169920314177
01,2021-01-20,2021-01,214.626572596297
01,2021-01-21,2021-01,218.279790853255
01,2021-01-22,2021-01,217.823138571135
01,2021-01-23,2021-01,222.998531101826
01,2021-01-24,2021-01,225.281792512425
01,2021-01-25,2021-01,231.522707034728
01,2021-01-26,2021-01,238.676926121272
01,2021-01-27,2021-01,238.676926121272
01,2021-01-28,2021-01,238.220273839152
01,2021-01-29,2021-01,244.76562321620202
01,2021-01-30,2021-01,245.526710353068
01,2021-01-31,2021-01,244.613405788829
