,dep,date,month,tx_incid
5643,15,2020-10-15,2020-10,114.13686620778499
5674,15,2020-11-15,2020-11,196.063328455091
5704,15,2020-12-15,2020-12,148.447948687426
5735,15,2021-01-15,2021-01,126.74093732275499
5766,15,2021-02-15,2021-02,125.34048497664699
5794,15,2021-03-15,2021-03,107.8348306503
5970,16,2020-08-15,2020-08,3.1592854270779505
6001,16,2020-09-15,2020-09,36.1881785283474
6031,16,2020-10-15,2020-10,70.07869492791079
6062,16,2020-11-15,2020-11,160.261933482681
6092,16,2020-12-15,2020-12,85.01349876500659
6123,16,2021-01-15,2021-01,122.924923889942
6154,16,2021-02-15,2021-02,89.8960307886725
6182,16,2021-03-15,2021-03,172.324659658797
6358,17,2020-08-15,2020-08,4.481671508932441
6389,17,2020-09-15,2020-09,24.5719231006985
6419,17,2020-10-15,2020-10,48.062063423378895
6450,17,2020-11-15,2020-11,77.7338196204488
6480,17,2020-12-15,2020-12,26.117327069295897
6511,17,2021-01-15,2021-01,103.387525499165
6542,17,2021-02-15,2021-02,89.78797057550841
6570,17,2021-03-15,2021-03,130.27755455276002
6746,18,2020-08-15,2020-08,5.7354151765833095
6777,18,2020-09-15,2020-09,46.220698775994904
6807,18,2020-10-15,2020-10,140.686360507955
6838,18,2020-11-15,2020-11,270.576645389401
6868,18,2020-12-15,2020-12,202.763795360386
6899,18,2021-01-15,2021-01,217.94577671016603
6930,18,2021-02-15,2021-02,132.589303788073
6958,18,2021-03-15,2021-03,149.458171954495
7134,19,2020-08-15,2020-08,6.241262232873981
7165,19,2020-09-15,2020-09,43.272751481259604
7195,19,2020-10-15,2020-10,64.4930430730311
7226,19,2020-11-15,2020-11,211.370747619999
7256,19,2020-12-15,2020-12,52.8426869049997
7287,19,2021-01-15,2021-01,134.39518008122
7318,19,2021-02-15,2021-02,159.776313161574
7346,19,2021-03-15,2021-03,190.566540177085
7522,21,2020-08-15,2020-08,10.508814267967301
7553,21,2020-09-15,2020-09,96.64355978577031
7583,21,2020-10-15,2020-10,185.59316626820703
7614,21,2020-11-15,2020-11,309.259391314465
7644,21,2020-12-15,2020-12,199.292156296093
7675,21,2021-01-15,2021-01,216.36897948153998
7706,21,2021-02-15,2021-02,145.80979796804598
