,job.creationDate,month,title,place.city,place.zipCode,Dpt,company.name
11,2021-04-06T10:20:51.000Z,2021-04,UN ALTERNANT - CHARGE DE COMMUNICATION ET PROJETS DIGITAUX  (H/F),69 - LYON 01,69001,69,SANOFI-AVENTIS GROUPE
12,2021-03-18T10:31:38.000Z,2021-03,Chargé / Chargée de communication (H/F),69 - LYON 01,69001,69,
13,2021-03-01T03:03:44.000Z,2021-03,Chargé / Chargée de communication (H/F),69 - LYON 01,69001,69,
14,2021-02-26T06:05:46.000Z,2021-02,Chargé / Chargée de communication (H/F),69 - LYON 01,69001,69,
15,2021-03-31T18:49:32.000Z,2021-03,Chargé / Chargée de communication (H/F),69 - LIMONEST,69760,69,
16,2021-04-02T10:53:15.000Z,2021-04,Coiffeur / Coiffeuse (H/F),13 - SALON DE PROVENCE,13300,13,JEAN LOUIS DAVID
17,2021-04-02T10:38:11.000Z,2021-04,Coiffeur / Coiffeuse (H/F),13 - SALON DE PROVENCE,13300,13,LMA COIFFURE - FRANCK PROVOST
18,2021-03-31T16:14:16.000Z,2021-03,Alternant(e) Communication et Gestion Web (H/F),13 - VENELLES,13770,13,MY BUSINESS SCHOOL
19,2021-04-07T07:45:13.000Z,2021-04,Chargé / Chargée de communication (H/F),74 - ANNECY,74000,74,
20,2021-04-08T06:32:14.000Z,2021-04,apprenti coiffeur(se) (H/F),13 - AIX EN PROVENCE,13080,13,ARTIGNAN JACQUES
21,2021-03-19T14:55:40.000Z,2021-03,Coiffeur / Coiffeuse,42 - VIOLAY,42780,42,COIFFURE SYLVIE
22,2021-02-18T17:24:18.000Z,2021-02,Apprenti coiffure Brevet Pro  (H/F),13 - MEYREUIL,13590,13,SALON DE COIFFURE LE CASTEL
23,2021-02-09T15:07:58.000Z,2021-02,Coiffeur/Coiffeuse en contrat d'apprentissage  (H/F),13 - LES PENNES MIRABEAU,13170,13,JEAN CLAUDE DIFFUSION
24,2021-03-19T11:23:32.000Z,2021-03,Chargé / Chargée de communication (H/F),13 - MARTIGUES,13500,13,FDM GROUPE
25,2021-03-18T17:22:23.000Z,2021-03,Chargé / Chargée de communication (H/F),13 - MARTIGUES,13117,13,FDM GROUPE
26,2021-02-23T11:24:27.000Z,2021-02,Assistant / Assistante de communication (H/F),83 - BRIGNOLES,83170,83,
27,2021-04-08T15:26:18.000Z,2021-04,APPRENTI(E) pour BP (H/F),83 - LORGUES,83510,83,VALERIE POZZO
28,2021-04-07T04:06:08.000Z,2021-04,Chargé / Chargée de communication (H/F),13 - MARSEILLE 01,13001,13,
29,2021-03-26T11:06:50.000Z,2021-03,Apprenti coiffeur H/F,48 - ST CHELY D APCHER,48200,48,JENNIF'HAIR
30,2021-04-09T12:24:36.000Z,2021-04,Apprenti Coiffeur / Coiffeuse (H/F),13 - MARSEILLE 08,13008,13,BEROL
31,2021-03-31T13:34:15.000Z,2021-03,Apprenti coiffeur/coiffeuse (H/F),13 - MARSEILLE 08,13008,13,SALON DEGUER
32,2021-03-30T17:14:37.000Z,2021-03,Chargé / Chargée de communication (H/F),83 - LE LUC,83340,83,LECASUD Services centraux
33,2021-04-01T15:30:42.000Z,2021-04,Chargé / Chargée de communication (H/F),71 - MACON,71000,71,ALTERNANCE BOURGOGNE
34,2021-04-04T10:03:44.000Z,2021-04,Assistant coiffeur / Assistante coiffeuse (H/F),01 - SEGNY,01170,01,PASCAL COSTE
35,2021-04-01T14:18:05.000Z,2021-04,Coiffeur / Coiffeuse,83 - LE MUY,83490,83,MEO
36,2021-04-06T09:37:39.000Z,2021-04,Chargé / Chargée de communication en  CONTRAT D'APPRENTISSA (H/F),34 - MONTPELLIER,34000,34,INSTEP OCCITANIE
37,2021-03-31T17:02:04.000Z,2021-03,Chargé / Chargée de communication (H/F),34 - MONTPELLIER,34000,34,Talentis Horizon
38,2021-03-24T19:24:39.000Z,2021-03,Chargé / Chargée de communication (H/F),34 - MONTPELLIER,34000,34,CESI MONTPELLIER
39,2021-03-29T17:39:20.000Z,2021-03,Chargé / Chargée de communication,13 - LA CIOTAT,13600,13,
40,2021-04-01T07:50:48.000Z,2021-04,Chargé / Chargée de communication (H/F),06 - NICE,06000,06,
41,2021-03-31T20:34:55.000Z,2021-03,Alternance - Appui Communication H/F,06 - NICE,06088,06,
42,2021-03-31T20:34:47.000Z,2021-03,Alternance - Chargé de Communication H/F,06 - NICE,06088,06,
