indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CONT_IMP_EU,TOTAL,EU28,EL	1.4 	1.4 	1.1 	0.9 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 
CONT_IMP_EU,TOTAL,EU28,ES	6.4 	6.1 	5.9 	5.6 	5.1 	5.1 	5.4 	5.7 	5.7 	5.7 	5.6 	5.5 
CONT_IMP_EU,TOTAL,EU28,EU28	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
CONT_IMP_EU,TOTAL,EU28,FI	1.5 	1.3 	1.3 	1.4 	1.3 	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 	1.3 
CONT_IMP_EU,TOTAL,EU28,FR	12.5 	13.1 	12.7 	12.6 	12.7 	12.6 	12.2 	11.9 	11.8 	11.6 	11.4 	11.4 
CONT_IMP_EU,TOTAL,EU28,HR	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 
CONT_IMP_EU,TOTAL,EU28,HU	1.9 	1.8 	1.8 	1.9 	1.9 	2.0 	2.1 	2.1 	2.2 	2.2 	2.2 	2.2 
CONT_IMP_EU,TOTAL,EU28,IE	1.5 	1.4 	1.3 	1.3 	1.3 	1.3 	1.4 	1.5 	1.6 	1.7 	1.7 	1.7 
CONT_IMP_EU,TOTAL,EU28,IT	7.9 	8.0 	8.2 	7.9 	7.3 	7.2 	7.1 	7.3 	7.3 	7.4 	7.3 	7.2 
CONT_IMP_EU,TOTAL,EU28,LT	0.5 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
CONT_IMP_EU,TOTAL,EU28,LU	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 	0.5 
CONT_IMP_EU,TOTAL,EU28,LV	0.3 	0.2 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 
CONT_IMP_EU,TOTAL,EU28,MT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
CONT_IMP_EU,TOTAL,EU28,NL	7.1 	7.3 	7.3 	7.2 	7.5 	7.4 	7.1 	7.1 	7.0 	7.1 	7.2 	7.3 
CONT_IMP_EU,TOTAL,EU28,PL	3.8 	3.6 	3.8 	3.8 	3.8 	3.9 	4.1 	4.2 	4.3 	4.5 	4.6 	4.6 
CONT_IMP_EU,TOTAL,EU28,PT	1.8 	1.9 	1.8 	1.6 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.7 	1.8 
CONT_IMP_EU,TOTAL,EU28,RO	1.5 	1.3 	1.4 	1.5 	1.5 	1.5 	1.5 	1.6 	1.7 	1.7 	1.8 	1.8 
CONT_IMP_EU,TOTAL,EU28,SE	3.0 	2.7 	3.0 	3.1 	3.1 	3.0 	2.9 	2.9 	3.0 	3.0 	2.9 	2.8 
CONT_IMP_EU,TOTAL,EU28,SI	0.7 	0.7 	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 
CONT_IMP_EU,TOTAL,EU28,SK	1.4 	1.4 	1.5 	1.5 	1.6 	1.6 	1.6 	1.7 	1.8 	1.8 	1.8 	1.9 
CONT_IMP_EU,TOTAL,EU28,UK	8.6 	8.6 	8.8 	8.5 	9.3 	9.3 	9.6 	10.1 	9.5 	9.0 	8.7 	8.7 
MIO_BAL_VAL,TOTAL,EU28,AT	-7978.4 	-8912.0 	-10356.7 	-15423.0 	-15429.3 	-13290.0 	-11471.5 	-11489.6 	-14122.9 	-14350.4 	-15586.8 	-15619.3 
MIO_BAL_VAL,TOTAL,EU28,BE	25205.5 	22312.3 	20637.5 	19030.5 	12106.7 	21664.5 	28798.8 	43930.1 	40516.2 	41643.6 	40768.6 	43395.1 
