indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_IMP_VAL,TOTAL,EXT_EU28,LV	2683.0 	1722.9 	2104.9 	2615.5 	2925.2 	2689.8 	2648.0 	2747.4 	2555.2 	3222.8 	4203.0 	3784.3 
MIO_IMP_VAL,TOTAL,EXT_EU28,MT	849.2 	801.9 	1139.1 	1183.3 	1177.7 	1340.1 	1914.2 	1809.3 	2584.2 	2008.5 	1601.5 	1664.7 
MIO_IMP_VAL,TOTAL,EXT_EU28,NL	204867.4 	161803.2 	205298.4 	227715.3 	249198.5 	238401.6 	240332.7 	250104.3 	240501.2 	274554.6 	297223.7 	310871.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,PL	39856.4 	29298.7 	39168.2 	45356.1 	50008.0 	48496.7 	51099.4 	51857.2 	49737.7 	58494.3 	68316.4 	73406.9 
MIO_IMP_VAL,TOTAL,EXT_EU28,PT	16182.8 	10994.5 	13843.5 	15872.5 	16080.0 	15947.4 	14889.5 	14158.8 	13608.0 	16494.7 	18150.1 	18914.1 
MIO_IMP_VAL,TOTAL,EXT_EU28,RO	17259.3 	10430.9 	12822.6 	14924.5 	14404.2 	13414.5 	14428.3 	14384.1 	15412.4 	18294.5 	20959.5 	21847.6 
MIO_IMP_VAL,TOTAL,EXT_EU28,SE	35305.6 	27516.7 	36995.1 	40451.3 	41833.9 	37667.3 	38145.9 	37450.3 	36870.4 	38883.3 	43287.1 	42183.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,SI	6194.5 	4708.4 	6242.0 	7103.6 	6974.8 	7524.9 	7895.1 	8075.6 	8030.3 	9774.2 	11725.8 	14443.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,SK	13483.3 	9970.3 	13781.2 	15365.2 	15894.5 	15977.7 	14535.6 	14037.3 	13427.5 	14473.0 	15947.2 	15435.6 
MIO_IMP_VAL,TOTAL,EXT_EU28,UK	217529.3 	188181.9 	226954.0 	252696.4 	283853.7 	239767.3 	244178.6 	261897.0 	284530.2 	274183.7 	269217.8 	311860.8 
