indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CONT_IMP_EU,TOTAL,EXT_EU28,DK	1.3 	1.4 	1.2 	1.2 	1.2 	1.3 	1.4 	1.4 	1.3 	1.3 	1.3 	1.3 
CONT_IMP_EU,TOTAL,EXT_EU28,EE	0.1 	0.1 	0.1 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 
CONT_IMP_EU,TOTAL,EXT_EU28,EL	1.8 	1.8 	1.5 	1.3 	1.4 	1.4 	1.4 	1.1 	1.1 	1.1 	1.3 	1.3 
CONT_IMP_EU,TOTAL,EXT_EU28,ES	7.3 	6.4 	6.6 	6.7 	6.7 	6.8 	6.8 	6.4 	6.3 	6.8 	6.9 	6.7 
CONT_IMP_EU,TOTAL,EXT_EU28,EU28	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
CONT_IMP_EU,TOTAL,EXT_EU28,FI	1.5 	1.2 	1.2 	1.3 	1.2 	1.2 	1.1 	0.9 	0.9 	1.0 	1.0 	0.9 
CONT_IMP_EU,TOTAL,EXT_EU28,FR	9.8 	10.0 	9.5 	9.8 	9.6 	9.8 	9.6 	9.2 	9.0 	9.0 	8.9 	9.0 
CONT_IMP_EU,TOTAL,EXT_EU28,HR	0.5 	0.5 	0.4 	0.4 	0.3 	0.3 	0.2 	0.2 	0.3 	0.3 	0.3 	0.2 
CONT_IMP_EU,TOTAL,EXT_EU28,HU	1.5 	1.4 	1.4 	1.3 	1.2 	1.3 	1.2 	1.1 	1.1 	1.2 	1.3 	1.4 
CONT_IMP_EU,TOTAL,EXT_EU28,IE	1.1 	1.3 	1.1 	1.0 	1.1 	1.1 	1.2 	1.4 	1.5 	1.5 	1.7 	1.5 
CONT_IMP_EU,TOTAL,EXT_EU28,IT	10.8 	10.1 	10.8 	10.7 	9.9 	9.5 	9.1 	8.9 	8.5 	8.6 	8.9 	8.4 
CONT_IMP_EU,TOTAL,EXT_EU28,LT	0.6 	0.4 	0.5 	0.6 	0.6 	0.6 	0.5 	0.5 	0.4 	0.5 	0.5 	0.5 
CONT_IMP_EU,TOTAL,EXT_EU28,LU	0.3 	0.4 	0.2 	0.2 	0.3 	0.3 	0.2 	0.3 	0.3 	0.2 	0.1 	0.2 
CONT_IMP_EU,TOTAL,EXT_EU28,LV	0.2 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.2 
CONT_IMP_EU,TOTAL,EXT_EU28,MT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 	0.1 	0.1 
CONT_IMP_EU,TOTAL,EXT_EU28,NL	12.9 	13.1 	13.4 	13.2 	13.9 	14.1 	14.2 	14.5 	14.1 	14.8 	15.0 	15.1 
CONT_IMP_EU,TOTAL,EXT_EU28,PL	2.5 	2.4 	2.6 	2.6 	2.8 	2.9 	3.0 	3.0 	2.9 	3.2 	3.4 	3.6 
CONT_IMP_EU,TOTAL,EXT_EU28,PT	1.0 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.8 	0.8 	0.9 	0.9 	0.9 
