RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES
sum,mean,min,max,sum,mean,min,max,sum,mean,min,max
2.7800000000000002,0.30888888888888894,0.0,1.07,2.0,0.2222222222222222,0.0,2.0,1.0,0.1111111111111111,0.0,1.0
0.4,0.13333333333333333,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.520000000000001,0.31300000000000006,0.0,1.67,5.92,0.148,0.0,3.0,134.0,3.35,0.0,15.0
8640.569999999872,0.9913458008260524,-1.84,104.04,8361.100000000004,0.9592817806333185,-1.0,107.0,29776.66999999999,3.416322854520421,-4.0,104.0
11.520000000000003,0.3031578947368422,0.08,1.41,2.0,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.1142857142857143,0.0,0.32,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0
32.2,1.788888888888889,0.0,5.55,40.489999999999995,2.2494444444444444,0.0,15.0,0.0,0.0,0.0,0.0
11.240000000000002,0.27414634146341466,0.0,1.54,11.0,0.2682926829268293,0.0,3.0,3.0,0.07317073170731707,0.0,2.0
304.0900000000001,2.8687735849056613,0.0,37.78,339.0,3.19811320754717,0.0,42.0,1742.92,16.44264150943396,0.0,125.0
7.63,0.4488235294117647,0.0,1.86,11.0,0.6470588235294118,0.0,4.0,18.0,1.0588235294117647,0.0,5.0
5.609999999999999,0.37399999999999994,0.08,1.31,4.59,0.306,-0.08,2.0,0.0,0.0,0.0,0.0
452.4000000000002,3.8666666666666685,0.0,12.64,486.09,4.154615384615385,0.0,15.81,192.0,1.641025641025641,0.0,12.0
1917.2900000000002,12.954662162162164,0.0,47.43,2104.59,14.220202702702704,0.0,46.0,307.0,2.074324324324324,0.0,13.0
71.70999999999994,0.4626451612903222,0.0,6.99,78.0,0.5032258064516129,0.0,10.0,300.91999999999996,1.9414193548387093,0.0,30.0
2.38,0.21636363636363634,0.17,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42559.14000000007,19.859608026131625,0.0,768.93,47322.64,22.082426504899672,-2.0,813.0,493856.18999999965,230.45085860942586,-4996.0,6116.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0
531.61,2.4958215962441317,0.0,47.52,545.1699999999998,2.5594835680751165,-0.08,50.0,857.0799999999999,4.023849765258215,-0.67,26.0
6.050000000000001,0.2630434782608696,0.08,0.99,-0.08,-0.0034782608695652175,-0.08,0.0,0.0,0.0,0.0,0.0
48.62999999999999,0.13323287671232872,0.0,4.31,39.83,0.10912328767123287,0.0,4.0,2120.26,5.808931506849316,-1.0,50.0
256.32,9.154285714285715,0.0,28.25,298.0,10.642857142857142,0.0,30.0,1700.67,60.738214285714285,0.0,117.0
0.98,0.10888888888888888,0.0,0.42,0.0,0.0,0.0,0.0,11.0,1.2222222222222223,0.0,6.0
229.48999999999998,2.5218681318681315,0.0,34.29,248.75,2.7335164835164836,0.0,39.0,1285.08,14.121758241758242,0.0,75.0
7.27,0.8077777777777777,0.33,1.41,4.0,0.4444444444444444,0.0,3.0,0.0,0.0,0.0,0.0
1.16,0.03314285714285714,0.0,0.5,2.0,0.05714285714285714,0.0,2.0,145.82999999999998,4.166571428571428,0.0,11.83
28034.629999999986,18.48030982201713,0.0,520.09,30830.20999999999,20.323144363876064,-10.0,563.99,4050.4800000000005,2.6700593276203035,0.0,312.0
4078.7499999999955,0.9305840748345872,-0.17,24.03,3753.8600000000015,0.8564590463153094,-1.0,49.0,8510.03,1.94159936116815,-1.0,64.0
20.269999999999996,0.04769411764705882,0.0,3.29,37.0,0.08705882352941176,0.0,7.0,1041.33,2.4501882352941173,-1.0,20.0
4507.210000000001,7.865986038394417,0.0,102.72,4790.75,8.360820244328098,-2.0,101.0,2911.17,5.080575916230367,-1.0,93.0
3.9099999999999997,0.4344444444444444,0.08,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178.889999999998,1.9916727605118811,0.0,56.94,2163.580000000001,1.9776782449725785,-1.0,52.0,1408.9299999999998,1.287870201096892,-1.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.6666666666666667,1.0,3.0
2.37,0.3385714285714286,0.08,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.29,2.5145,0.0,10.68,58.0,2.9,0.0,15.0,334.83,16.7415,0.0,86.83
0.08,0.08,0.08,0.08,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.89,0.00978021978021978,0.0,0.33,1.0,0.01098901098901099,0.0,1.0,166.66000000000003,1.8314285714285716,0.0,15.0
327.0300000000001,2.725250000000001,0.0,10.31,289.93,2.4160833333333334,0.0,10.0,170.0,1.4166666666666667,-0.92,9.0
0.32,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10773.25,20.481463878326995,0.0,393.79,11869.96,22.566463878326996,0.0,390.0,53420.90999999999,101.56066539923953,-6.0,1055.96
56.879999999999974,0.3009523809523808,0.0,3.58,28.510000000000005,0.15084656084656087,-0.75,3.0,176.92000000000002,0.9360846560846562,-1.0,7.0
771.6400000000003,2.1257300275482103,0.0,22.05,613.8499999999999,1.6910468319559226,-2.0,35.0,1310.83,3.6111019283746555,0.0,50.0
